TeacherID,EventDate,EventType,CenterID,ClassroomID,Position,Notes
T-0009,9/1/2001,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0010,12/1/2001,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0019,1/12/2002,Hire,C-JP,CL-JPPS1-01,Lead Teacher,Hire to meet staffing need January 2002
T-0010,4/1/2002,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0015,5/1/2002,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0005,7/1/2002,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0020,7/15/2002,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need July 2002
T-0009,10/1/2002,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left
T-0017,11/1/2002,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0016,11/1/2002,Promotion,,,Executive Director,Promotion to Executive Director to oversee all centers
T-0021,1/19/2003,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need January 2003
T-0022,1/16/2003,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need January 2003
T-0002,3/1/2003,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0014,4/1/2003,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0023,4/27/2003,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need April 2003
T-0024,9/25/2003,Hire,C-TD,CL-TDPS-01,Assistant Teacher,Hire to meet staffing need September 2003
T-0016,11/1/2003,Termination,C-JP,,Executive Director,Staff voluntarily left
T-0001,1/1/2004,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0003,1/1/2004,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0005,1/1/2004,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0006,1/1/2004,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0007,1/1/2004,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0008,1/1/2004,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0009,1/1/2004,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0010,1/1/2004,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0015,1/1/2004,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0017,1/1/2004,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0005,2/1/2004,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0025,3/2/2004,Hire,C-TD,CL-TDTO-01,Lead Teacher,Hire to meet staffing need February 2004
T-0026,2/9/2004,Hire,C-TD,CL-TDTO-01,Lead Teacher,Hire to meet staffing need February 2004
T-0015,6/1/2004,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0006,7/1/2004,Termination,C-HP,CL-HPPS1-01,Lead Teacher,Staff voluntarily left
T-0020,8/1/2004,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0024,10/1/2004,Promotion,C-TD,CL-TDPS-01,Teacher,Promotion to Teacher
T-0021,10/1/2004,Termination,C-JP,CL-JPPS2-01,Teacher,Staff voluntarily left
T-0027,1/27/2005,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need January 2005
T-0022,2/1/2005,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0028,4/17/2005,Hire,C-HP,CL-HPPS1-01,Teacher,Hire to meet staffing need April 2005
T-0023,5/1/2005,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0026,6/1/2005,Termination,,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0024,10/1/2005,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0025,10/1/2005,Termination,,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0024,11/1/2005,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left
T-0029,11/12/2005,Hire,C-JP,CL-JPTO-01,Assistant Teacher,Hire to meet staffing need November 2005
T-0005,12/1/2005,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0008,4/1/2006,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0022,4/1/2006,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0010,5/1/2006,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0030,7/14/2006,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need July 2006
T-0031,8/12/2006,Hire,C-LCV,CL-LCVPS-01,Lead Teacher,Hire to meet staffing need August 2006
T-0001,10/1/2006,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0029,12/1/2006,Promotion,,CL-JPTO-01,Teacher,Promotion to Teacher
T-0029,12/1/2006,Termination,,CL-JPTO-01,Teacher,Staff voluntarily left
T-0032,12/12/2006,Hire,C-JP,CL-JPTO-01,Assistant Teacher,Hire to meet staffing need December 2006
T-0001,1/1/2007,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0003,1/1/2007,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0005,1/1/2007,Promotion,C-JP,CL-JPPS2-01,Teacher,Promotion to Teacher
T-0006,1/1/2007,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0007,1/1/2007,Promotion,C-HP,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0008,1/1/2007,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0009,1/1/2007,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0010,1/1/2007,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0015,1/1/2007,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0017,1/1/2007,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0020,1/1/2007,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0021,1/1/2007,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0022,1/1/2007,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0023,1/1/2007,Promotion,C-LCV,CL-LCVIN-01,Lead Teacher,Promotion to Lead Teacher
T-0024,1/1/2007,Promotion,C-TD,CL-TDPS-01,Teacher,Promotion to Teacher
T-0029,1/1/2007,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0005,2/1/2007,Promotion,C-JP,CL-JPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0024,2/1/2007,Promotion,C-TD,CL-TDPS-01,Lead Teacher,Promotion to Lead Teacher
T-0027,2/1/2007,Promotion,C-LCV,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0001,3/1/2007,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0018,3/1/2007,Termination,C-HP,CL-HPIN-01,Lead Teacher,Staff voluntarily left
T-0021,3/1/2007,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0028,5/1/2007,Promotion,C-HP,CL-HPPS1-01,Lead Teacher,Promotion to Lead Teacher
T-0007,6/1/2007,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left
T-0033,6/6/2007,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need June 2007
T-0003,7/1/2007,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0034,7/22/2007,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need July 2007
T-0017,8/1/2007,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0034,10/1/2007,Termination,,CL-LCVPS-01,Assistant Teacher,Staff voluntarily left
T-0035,10/12/2007,Hire,C-JP,CL-JPIN-01,Teacher,Hire to meet staffing need October 2007
T-0029,12/1/2007,Promotion,C-JP,CL-JPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0004,12/1/2007,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left
T-0036,12/29/2007,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need December 2007
T-0032,1/1/2008,Promotion,C-JP,CL-JPTO-01,Teacher,Promotion to Teacher
T-0026,2/1/2008,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0008,4/1/2008,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0037,4/17/2008,Hire,C-HP,CL-HPIN-01,Assistant Teacher,Hire to meet staffing need April 2008
T-0010,5/1/2008,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0029,5/1/2008,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left
T-0032,5/1/2008,Termination,C-JP,CL-JPTO-01,Teacher,Staff voluntarily left
T-0038,5/4/2008,Hire,C-JP,CL-JPPS2-01,Assistant Teacher,Hire to meet staffing need May 2008
T-0039,5/20/2008,Hire,C-JP,CL-JPTO-01,Lead Teacher,Hire to meet staffing need May 2008
T-0027,6/1/2008,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0040,6/30/2008,Hire,C-HP,CL-HPPS2-01,Assistant Teacher,Hire to meet staffing need June 2008
T-0025,7/1/2008,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0041,7/26/2008,Hire,C-LCV,CL-LCVTO-01,Assistant Teacher,Hire to meet staffing need July 2008
T-0030,8/1/2008,Promotion,C-LCV,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0023,8/1/2008,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0019,9/1/2008,Termination,C-JP,CL-JPPS1-01,Lead Teacher,Staff voluntarily left
T-0036,9/1/2008,Termination,,CL-LCVPS-01,Teacher,Staff voluntarily left
T-0042,9/24/2008,Hire,C-JP,CL-JPPS1-01,Lead Teacher,Hire to meet staffing need September 2008
T-0043,9/17/2008,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need September 2008
T-0038,10/1/2008,Termination,,CL-JPPS2-01,Assistant Teacher,Staff voluntarily left
T-0044,10/10/2008,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need October 2008
T-0042,11/1/2008,Termination,,CL-JPPS1-01,Lead Teacher,Staff voluntarily left
T-0045,11/27/2008,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need November 2008
T-0035,12/1/2008,Termination,,CL-JPIN-01,Teacher,Staff voluntarily left
T-0046,12/2/2008,Hire,C-LCV,CL-LCVIN-01,Lead Teacher,Hire to meet staffing need December 2008
T-0047,12/31/2008,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need December 2008
T-0048,1/24/2009,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need January 2009
T-0044,2/1/2009,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0037,5/1/2009,Promotion,,CL-HPIN-01,Teacher,Promotion to Teacher
T-0002,5/1/2009,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0030,5/1/2009,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0049,5/27/2009,Hire,C-LCV,CL-LCVIN-01,Assistant Teacher,Hire to meet staffing need May 2009
T-0033,6/1/2009,Promotion,,CL-HPTO-01,Lead Teacher,Promotion to Lead Teacher
T-0024,6/1/2009,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left
T-0050,6/19/2009,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need June 2009
T-0040,7/1/2009,Promotion,,CL-HPPS2-01,Teacher,Promotion to Teacher
T-0041,8/1/2009,Promotion,,CL-LCVTO-01,Teacher,Promotion to Teacher
T-0045,9/1/2009,Termination,,CL-JPPS1-01,Teacher,Staff voluntarily left
T-0051,9/6/2009,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need September 2009
T-0052,9/3/2009,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need September 2009
T-0053,9/13/2009,Hire,C-TD,CL-TDTO-01,Teacher,Hire to meet staffing need September 2009
T-0033,10/1/2009,Termination,,CL-HPTO-01,Lead Teacher,Staff voluntarily left
T-0054,10/17/2009,Hire,C-HP,CL-HPTO-01,Lead Teacher,Hire to meet staffing need October 2009
T-0005,11/1/2009,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0055,11/17/2009,Hire,C-JP,CL-JPIN-01,Lead Teacher,Hire to meet staffing need November 2009
T-0056,11/21/2009,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need November 2009
T-0031,12/1/2009,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0052,12/1/2009,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0057,12/14/2009,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need December 2009
T-0058,1/23/2010,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need January 2010
T-0059,1/31/2010,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need January 2010
T-0039,2/1/2010,Termination,,CL-JPTO-01,Lead Teacher,Staff voluntarily left
T-0060,2/8/2010,Hire,C-JP,CL-JPTO-01,Assistant Teacher,Hire to meet staffing need February 2010
T-0061,3/7/2010,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need March 2010
T-0043,4/1/2010,Termination,,CL-LCVPS-01,Teacher,Staff voluntarily left
T-0053,4/1/2010,Termination,,CL-TDTO-01,Teacher,Staff voluntarily left
T-0062,4/2/2010,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need April 2010
T-0063,4/23/2010,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need April 2010
T-0037,5/1/2010,Promotion,,CL-HPIN-01,Lead Teacher,Promotion to Lead Teacher
T-0049,6/1/2010,Promotion,,CL-LCVIN-01,Teacher,Promotion to Teacher
T-0040,7/1/2010,Promotion,,CL-HPPS2-01,Lead Teacher,Promotion to Lead Teacher
T-0064,7/9/2010,Hire,C-HP,CL-HPPS2-01,Teacher,Hire to meet staffing need July 2010
T-0041,8/1/2010,Promotion,,CL-LCVTO-01,Lead Teacher,Promotion to Lead Teacher
T-0009,8/1/2010,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left
T-0063,9/1/2010,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0049,10/1/2010,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0059,10/1/2010,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0065,10/23/2010,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need October 2010
T-0060,11/1/2010,Termination,,CL-JPTO-01,Assistant Teacher,Staff voluntarily left
T-0056,12/1/2010,Promotion,,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0057,12/1/2010,Termination,,CL-LCVPS-01,Teacher,Staff voluntarily left
T-0066,12/6/2010,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need December 2010
T-0067,12/18/2010,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need December 2010
T-0025,1/1/2007,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0020,2/1/2007,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0026,5/1/2007,Termination,C-TD,CL-TDTO-01,Lead Teacher,Staff voluntarily left
T-0031,5/1/2007,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0006,6/1/2007,Termination,C-HP,CL-HPPS1-01,Lead Teacher,Staff voluntarily left
T-0068,6/26/2007,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need June 2007
T-0015,7/1/2007,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0069,7/10/2007,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need July 2007
T-0014,8/1/2007,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0018,8/1/2007,Termination,C-HP,CL-HPIN-01,Lead Teacher,Staff voluntarily left
T-0023,8/1/2007,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0024,10/1/2007,Termination,C-TD,CL-TDPS-01,Lead Teacher,Staff voluntarily left
T-0070,10/10/2007,Hire,C-JP,CL-JPIN-01,Teacher,Hire to meet staffing need October 2007
T-0002,1/1/2008,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0027,1/1/2008,Termination,C-LCV,CL-LCVPS-01,Lead Teacher,Staff voluntarily left
T-0030,1/1/2008,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0071,1/23/2008,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need January 2008
T-0071,2/1/2008,Termination,,CL-LCVPS-01,Teacher,Staff voluntarily left
T-0072,2/24/2008,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need February 2008
T-0007,3/1/2008,Termination,C-HP,CL-HPTO-01,Lead Teacher,Staff voluntarily left
T-0022,3/1/2008,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0073,4/2/2008,Hire,C-HP,CL-HPIN-01,Lead Teacher,Hire to meet staffing need April 2008
T-0008,5/1/2008,Termination,C-LCV,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0004,6/1/2008,Termination,C-HP,CL-HPPS2-01,Lead Teacher,Staff voluntarily left
T-0074,6/13/2008,Hire,C-HP,CL-HPPS2-01,Teacher,Hire to meet staffing need June 2008
T-0075,6/23/2008,Hire,C-HP,CL-HPTO-01,Teacher,Hire to meet staffing need June 2008
T-0072,7/1/2008,Termination,,CL-LCVPS-01,Assistant Teacher,Staff voluntarily left
T-0076,7/29/2008,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need July 2008
T-0077,7/21/2008,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need July 2008
T-0069,8/1/2008,Promotion,,CL-LCVPS-01,Teacher,Promotion to Teacher
T-0001,8/1/2008,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0078,8/28/2008,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need August 2008
T-0079,8/25/2008,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need August 2008
T-0074,9/1/2008,Termination,,CL-HPPS2-01,Teacher,Staff voluntarily left
T-0076,9/1/2008,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0080,9/18/2008,Hire,C-HP,CL-HPPS2-01,Teacher,Hire to meet staffing need September 2008
T-0081,9/12/2008,Hire,C-LCV,CL-LCVIN-01,Assistant Teacher,Hire to meet staffing need September 2008
T-0032,10/1/2008,Termination,C-JP,CL-JPTO-01,Teacher,Staff voluntarily left
T-0082,10/7/2008,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need October 2008
T-0078,11/1/2008,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0083,12/27/2008,Hire,C-LCV,CL-LCVIN-01,Lead Teacher,Hire to meet staffing need December 2008
T-0084,12/7/2008,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need December 2008
T-0085,12/30/2008,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need December 2008
T-0081,1/1/2009,Termination,,CL-LCVIN-01,Assistant Teacher,Staff voluntarily left
T-0086,1/5/2009,Hire,C-LCV,CL-LCVIN-01,Assistant Teacher,Hire to meet staffing need January 2009
T-0010,2/1/2009,Termination,C-JP,CL-JPPS2-01,Lead Teacher,Staff voluntarily left
T-0086,2/1/2009,Termination,,CL-LCVIN-01,Assistant Teacher,Staff voluntarily left
T-0087,2/27/2009,Hire,C-JP,CL-JPPS2-01,Teacher,Hire to meet staffing need February 2009
T-0088,2/18/2009,Hire,C-LCV,CL-LCVIN-01,Lead Teacher,Hire to meet staffing need February 2009
T-0077,3/1/2009,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0082,3/1/2009,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0029,5/1/2009,Termination,C-JP,CL-JPTO-01,Lead Teacher,Staff voluntarily left
T-0080,5/1/2009,Termination,,CL-HPPS2-01,Teacher,Staff voluntarily left
T-0089,5/17/2009,Hire,C-HP,CL-HPPS2-01,Assistant Teacher,Hire to meet staffing need May 2009
T-0090,5/18/2009,Hire,C-JP,CL-JPTO-01,Assistant Teacher,Hire to meet staffing need May 2009
T-0083,6/1/2009,Termination,,CL-LCVIN-01,Lead Teacher,Staff voluntarily left
T-0085,6/1/2009,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0091,6/13/2009,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need June 2009
T-0092,6/1/2009,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need June 2009
T-0093,6/21/2009,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need June 2009
T-0068,7/1/2009,Promotion,,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0069,7/1/2009,Promotion,,CL-LCVPS-01,Lead Teacher,Promotion to Lead Teacher
T-0079,7/1/2009,Termination,,CL-LCVTO-01,Teacher,Staff voluntarily left
T-0094,7/18/2009,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need July 2009
T-0095,9/26/2009,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need September 2009
T-0096,9/27/2009,Hire,C-TD,CL-TDTO-01,Teacher,Hire to meet staffing need September 2009
T-0070,10/1/2009,Promotion,,CL-JPIN-01,Lead Teacher,Promotion to Lead Teacher
T-0090,10/1/2009,Termination,,CL-JPTO-01,Assistant Teacher,Staff voluntarily left
T-0092,10/1/2009,Termination,,CL-LCVIN-01,Teacher,Staff voluntarily left
T-0097,10/16/2009,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need October 2009
T-0098,10/24/2009,Hire,C-LCV,CL-LCVIN-01,Teacher,Hire to meet staffing need October 2009
T-0017,11/1/2009,Termination,C-LCV,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0099,11/16/2009,Hire,C-LCV,CL-LCVPS-01,Teacher,Hire to meet staffing need November 2009
T-0100,11/4/2009,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need November 2009
T-0094,12/1/2009,Termination,,CL-LCVTO-01,Lead Teacher,Staff voluntarily left
T-0101,1/7/2010,Hire,C-JP,CL-JPPS1-01,Teacher,Hire to meet staffing need January 2010
T-0102,1/6/2010,Hire,C-LCV,CL-LCVTO-01,Teacher,Hire to meet staffing need January 2010
T-0099,2/1/2010,Termination,,CL-LCVPS-01,Teacher,Staff voluntarily left
T-0103,2/18/2010,Hire,C-LCV,CL-LCVPS-01,Assistant Teacher,Hire to meet staffing need February 2010
T-0104,3/1/2010,Hire,C-JP,CL-JPTO-01,Teacher,Hire to meet staffing need March 2010
T-0105,4/7/2010,Hire,C-LCV,CL-LCVTO-01,Lead Teacher,Hire to meet staffing need April 2010
