RateValueID,RateRuleID,RateName,MonthlyRate,EffectiveStart,EffectiveEnd
RVSTDHP2024-04,RR028,24-25,1720,7/1/2024,6/30/2025
RVSTDHP2024-05,RR029,24-25,1067,7/1/2024,6/30/2025
RVSTDHP2024-06,RR030,24-25,713,7/1/2024,6/30/2025
RVSTDHP2024-07,RR031,24-25,1552,7/1/2024,6/30/2025
RVSTDHP2024-08,RR032,24-25,1060,7/1/2024,6/30/2025
RVSTDHP2024-09,RR033,24-25,790,7/1/2024,6/30/2025
RVSTDHP2024-10,RR034,24-25,1325,7/1/2024,6/30/2025
RVSTDHP2024-11,RR035,24-25,925,7/1/2024,6/30/2025
RVSTDHP2024-12,RR036,24-25,658,7/1/2024,6/30/2025
RVSTDHP2024-13,RR037,24-25,1842,7/1/2024,6/30/2025
RVSTDHP2024-14,RR038,24-25,1251,7/1/2024,6/30/2025
RVSTDHP2024-15,RR039,24-25,881,7/1/2024,6/30/2025
RVSTDHP2024-16,RR040,24-25,1769,7/1/2024,6/30/2025
RVSTDHP2024-17,RR041,24-25,1217,7/1/2024,6/30/2025
RVSTDHP2024-18,RR042,24-25,841,7/1/2024,6/30/2025
RVSTDHP2024-19,RR043,24-25,1606,7/1/2024,6/30/2025
RVSTDHP2024-20,RR044,24-25,1112,7/1/2024,6/30/2025
RVSTDHP2024-21,RR045,24-25,791,7/1/2024,6/30/2025
RVSTDHP2024-22,RR046,24-25,1460,7/1/2024,6/30/2025
RVSTDHP2024-23,RR047,24-25,988,7/1/2024,6/30/2025
RVSTDHP2024-24,RR048,24-25,695,7/1/2024,6/30/2025
RVSTDHP2025-01,RR025,25-26,2039,7/1/2025,6/30/2026
RVSTDHP2025-02,RR026,25-26,1401,7/1/2025,6/30/2026
RVSTDHP2025-03,RR027,25-26,968,7/1/2025,6/30/2026
RVSTDHP2025-04,RR028,25-26,2039,7/1/2025,6/30/2026
RVSTDHP2025-05,RR029,25-26,1401,7/1/2025,6/30/2026
RVSTDHP2025-06,RR030,25-26,968,7/1/2025,6/30/2026
RVSTDHP2025-07,RR031,25-26,1785,7/1/2025,6/30/2026
RVSTDHP2025-08,RR032,25-26,1219,7/1/2025,6/30/2026
RVSTDHP2025-09,RR033,25-26,909,7/1/2025,6/30/2026
RVSTDHP2025-10,RR034,25-26,1524,7/1/2025,6/30/2026
RVSTDHP2025-11,RR035,25-26,1064,7/1/2025,6/30/2026
RVSTDHP2025-12,RR036,25-26,757,7/1/2025,6/30/2026
RVSTDHP2025-13,RR037,25-26,2118,7/1/2025,6/30/2026
RVSTDHP2025-14,RR038,25-26,1439,7/1/2025,6/30/2026
RVSTDHP2025-15,RR039,25-26,1013,7/1/2025,6/30/2026
RVSTDHP2025-16,RR040,25-26,2118,7/1/2025,6/30/2026
RVSTDHP2025-17,RR041,25-26,1439,7/1/2025,6/30/2026
RVSTDHP2025-18,RR042,25-26,1013,7/1/2025,6/30/2026
RVSTDHP2025-19,RR043,25-26,1847,7/1/2025,6/30/2026
RVSTDHP2025-20,RR044,25-26,1279,7/1/2025,6/30/2026
RVSTDHP2025-21,RR045,25-26,910,7/1/2025,6/30/2026
RVSTDHP2025-22,RR046,25-26,1679,7/1/2025,6/30/2026
RVSTDHP2025-23,RR047,25-26,1136,7/1/2025,6/30/2026
RVSTDHP2025-24,RR048,25-26,799,7/1/2025,6/30/2026
RVGFHP2025-01,RR025,25-26 Grandfathered,1915,7/1/2025,12/31/2025
RVGFHP2025-02,RR026,25-26 Grandfathered,1315,7/1/2025,12/31/2025
RVGFHP2025-03,RR027,25-26 Grandfathered,909,7/1/2025,12/31/2025
RVGFHP2025-04,RR028,25-26 Grandfathered,1915,7/1/2025,12/31/2025
RVGFHP2025-05,RR029,25-26 Grandfathered,1315,7/1/2025,12/31/2025
RVGFHP2025-06,RR030,25-26 Grandfathered,909,7/1/2025,12/31/2025
RVGFHP2025-07,RR031,25-26 Grandfathered,1676,7/1/2025,12/31/2025
RVGFHP2025-08,RR032,25-26 Grandfathered,1145,7/1/2025,12/31/2025
RVGFHP2025-09,RR033,25-26 Grandfathered,853,7/1/2025,12/31/2025
RVGFHP2025-10,RR034,25-26 Grandfathered,1431,7/1/2025,12/31/2025
RVGFHP2025-11,RR035,25-26 Grandfathered,999,7/1/2025,12/31/2025
RVGFHP2025-12,RR036,25-26 Grandfathered,711,7/1/2025,12/31/2025
RVGFHP2025-13,RR037,25-26 Grandfathered,1989,7/1/2025,12/31/2025
RVGFHP2025-14,RR038,25-26 Grandfathered,1351,7/1/2025,12/31/2025
RVGFHP2025-15,RR039,25-26 Grandfathered,951,7/1/2025,12/31/2025
RVGFHP2025-16,RR040,25-26 Grandfathered,1989,7/1/2025,12/31/2025
RVGFHP2025-17,RR041,25-26 Grandfathered,1351,7/1/2025,12/31/2025
RVGFHP2025-18,RR042,25-26 Grandfathered,951,7/1/2025,12/31/2025
RVGFHP2025-19,RR043,25-26 Grandfathered,1734,7/1/2025,12/31/2025
RVGFHP2025-20,RR044,25-26 Grandfathered,1201,7/1/2025,12/31/2025
RVGFHP2025-21,RR045,25-26 Grandfathered,854,7/1/2025,12/31/2025
RVGFHP2025-22,RR046,25-26 Grandfathered,1557,7/1/2025,12/31/2025
RVGFHP2025-23,RR047,25-26 Grandfathered,1067,7/1/2025,12/31/2025
RVGFHP2025-24,RR048,25-26 Grandfathered,751,7/1/2025,12/31/2025
RVSTDTD2024-01,RR049,24-25,1862,7/1/2024,6/30/2025
RVSTDTD2024-02,RR050,24-25,1257,7/1/2024,6/30/2025
RVSTDTD2024-03,RR051,24-25,838,7/1/2024,6/30/2025
RVSTDTD2024-04,RR052,24-25,1612,7/1/2024,6/30/2025
RVSTDTD2024-05,RR053,24-25,1088,7/1/2024,6/30/2025
RVSTDTD2024-06,RR054,24-25,689,7/1/2024,6/30/2025
RVSTDTD2024-07,RR055,24-25,1128,7/1/2024,6/30/2025
RVSTDTD2024-08,RR056,24-25,762,7/1/2024,6/30/2025
RVSTDTD2024-09,RR057,24-25,489,7/1/2024,6/30/2025
RVSTDTD2025-01,RR058,25-26,2039,7/1/2025,6/30/2026
RVSTDTD2025-02,RR059,25-26,1401,7/1/2025,6/30/2026
RVSTDTD2025-03,RR060,25-26,969,7/1/2025,6/30/2026
RVSTDTD2025-04,RR061,25-26,2039,7/1/2025,6/30/2026
RVSTDTD2025-05,RR062,25-26,1401,7/1/2025,6/30/2026
RVSTDTD2025-06,RR063,25-26,969,7/1/2025,6/30/2026
RVSTDTD2025-07,RR064,25-26,1784,7/1/2025,6/30/2026
RVSTDTD2025-08,RR065,25-26,1219,7/1/2025,6/30/2026
RVSTDTD2025-09,RR066,25-26,861,7/1/2025,6/30/2026
RVSTDTD2025-10,RR067,25-26,1524,7/1/2025,6/30/2026
RVSTDTD2025-11,RR068,25-26,1063,7/1/2025,6/30/2026
RVSTDTD2025-12,RR069,25-26,757,7/1/2025,6/30/2026
RVGFTD2025-01,RR058,25-26 Grandfathered,1915,7/1/2025,12/31/2025
RVGFTD2025-02,RR059,25-26 Grandfathered,1315,7/1/2025,12/31/2025
RVGFTD2025-03,RR060,25-26 Grandfathered,910,7/1/2025,12/31/2025
RVGFTD2025-04,RR061,25-26 Grandfathered,1915,7/1/2025,12/31/2025
RVGFTD2025-05,RR062,25-26 Grandfathered,1315,7/1/2025,12/31/2025
RVGFTD2025-06,RR063,25-26 Grandfathered,910,7/1/2025,12/31/2025
RVGFTD2025-07,RR064,25-26 Grandfathered,1676,7/1/2025,12/31/2025
RVGFTD2025-08,RR065,25-26 Grandfathered,1145,7/1/2025,12/31/2025
RVGFTD2025-09,RR066,25-26 Grandfathered,809,7/1/2025,12/31/2025
RVGFTD2025-10,RR067,25-26 Grandfathered,1431,7/1/2025,12/31/2025
RVGFTD2025-11,RR068,25-26 Grandfathered,999,7/1/2025,12/31/2025
RVGFTD2025-12,RR069,25-26 Grandfathered,711,7/1/2025,12/31/2025
RVHISTJP1997-01,RR001,1997-2024,1500,7/1/1997,6/30/2024
RVHISTJP1997-02,RR002,1997-2024,1396,7/1/1997,6/30/2024
RVHISTJP1997-03,RR003,1997-2024,1284,7/1/1997,6/30/2024
RVHISTJP1997-04,RR004,1997-2024,1323,7/1/1997,6/30/2024
RVHISTJP1997-05,RR005,1997-2024,1105,7/1/1997,6/30/2024
RVHISTJP1997-06,RR006,1997-2024,950,7/1/1997,6/30/2024
RVHISTJP1997-07,RR007,1997-2024,1106,7/1/1997,6/30/2024
RVHISTJP1997-08,RR008,1997-2024,896,7/1/1997,6/30/2024
RVHISTJP1997-09,RR009,1997-2024,540,7/1/1997,6/30/2024
RVHISTJP1997-10,RR010,1997-2024,1106,7/1/1997,6/30/2024
RVHISTJP1997-11,RR011,1997-2024,896,7/1/1997,6/30/2024
RVHISTJP1997-12,RR012,1997-2024,540,7/1/1997,6/30/2024
RVHISTJP1997-13,RR013,1997-2024,1500,7/1/1997,6/30/2024
RVHISTJP1997-14,RR014,1997-2024,1396,7/1/1997,6/30/2024
RVHISTJP1997-15,RR015,1997-2024,1284,7/1/1997,6/30/2024
RVHISTJP1997-16,RR016,1997-2024,1323,7/1/1997,6/30/2024
RVHISTJP1997-17,RR017,1997-2024,1105,7/1/1997,6/30/2024
RVHISTJP1997-18,RR018,1997-2024,950,7/1/1997,6/30/2024
RVHISTJP1997-19,RR019,1997-2024,1106,7/1/1997,6/30/2024
RVHISTJP1997-20,RR020,1997-2024,896,7/1/1997,6/30/2024
RVHISTJP1997-21,RR021,1997-2024,540,7/1/1997,6/30/2024
RVHISTJP1997-22,RR022,1997-2024,1106,7/1/1997,6/30/2024
RVHISTJP1997-23,RR023,1997-2024,896,7/1/1997,6/30/2024
RVHISTJP1997-24,RR024,1997-2024,540,7/1/1997,6/30/2024
RVHISTHP1997-01,RR025,1997-2024,1500,7/1/1997,6/30/2024
RVHISTHP1997-02,RR026,1997-2024,1396,7/1/1997,6/30/2024
RVHISTHP1997-03,RR027,1997-2024,1284,7/1/1997,6/30/2024
RVHISTHP1997-04,RR028,1997-2024,1323,7/1/1997,6/30/2024
RVHISTHP1997-05,RR029,1997-2024,1105,7/1/1997,6/30/2024
RVHISTHP1997-06,RR030,1997-2024,950,7/1/1997,6/30/2024
RVHISTHP1997-07,RR031,1997-2024,1106,7/1/1997,6/30/2024
RVHISTHP1997-08,RR032,1997-2024,896,7/1/1997,6/30/2024
RVHISTHP1997-09,RR033,1997-2024,540,7/1/1997,6/30/2024
RVHISTHP1997-10,RR034,1997-2024,1106,7/1/1997,6/30/2024
RVHISTHP1997-11,RR035,1997-2024,896,7/1/1997,6/30/2024
RVHISTHP1997-12,RR036,1997-2024,540,7/1/1997,6/30/2024
RVHISTHP1997-13,RR037,1997-2024,1500,7/1/1997,6/30/2024
RVHISTHP1997-14,RR038,1997-2024,1396,7/1/1997,6/30/2024
RVHISTHP1997-15,RR039,1997-2024,1284,7/1/1997,6/30/2024
RVHISTHP1997-16,RR040,1997-2024,1323,7/1/1997,6/30/2024
RVHISTHP1997-17,RR041,1997-2024,1105,7/1/1997,6/30/2024
RVHISTHP1997-18,RR042,1997-2024,950,7/1/1997,6/30/2024
RVHISTHP1997-19,RR043,1997-2024,1106,7/1/1997,6/30/2024
RVHISTHP1997-20,RR044,1997-2024,896,7/1/1997,6/30/2024
RVHISTHP1997-21,RR045,1997-2024,540,7/1/1997,6/30/2024
RVHISTHP1997-22,RR046,1997-2024,1106,7/1/1997,6/30/2024
RVHISTHP1997-23,RR047,1997-2024,896,7/1/1997,6/30/2024
RVHISTHP1997-24,RR048,1997-2024,540,7/1/1997,6/30/2024
RVHISTLCV1997-01,RR070,1997-2022,1500,7/1/1997,5/31/2022
RVHISTLCV1997-02,RR071,1997-2022,1396,7/1/1997,5/31/2022
RVHISTLCV1997-03,RR072,1997-2022,1284,7/1/1997,5/31/2022
RVHISTLCV1997-04,RR073,1997-2022,1323,7/1/1997,5/31/2022
RVHISTLCV1997-05,RR074,1997-2022,1105,7/1/1997,5/31/2022
RVHISTLCV1997-06,RR075,1997-2022,950,7/1/1997,5/31/2022
RVHISTLCV1997-07,RR076,1997-2022,1106,7/1/1997,5/31/2022
RVHISTLCV1997-08,RR077,1997-2022,896,7/1/1997,5/31/2022
RVHISTLCV1997-09,RR078,1997-2022,540,7/1/1997,5/31/2022
RVSTDJP2025-01_26-27 (Placeholder),RR001,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDJP2025-02_26-27 (Placeholder),RR002,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDJP2025-03_26-27 (Placeholder),RR003,26-27 (Placeholder),1007.76,7/1/2026,6/30/2027
RVSTDJP2025-04_26-27 (Placeholder),RR004,26-27 (Placeholder),1855.36,7/1/2026,6/30/2027
RVSTDJP2025-05_26-27 (Placeholder),RR005,26-27 (Placeholder),1267.76,7/1/2026,6/30/2027
RVSTDJP2025-06_26-27 (Placeholder),RR006,26-27 (Placeholder),895.44,7/1/2026,6/30/2027
RVSTDJP2025-07_26-27 (Placeholder),RR007,26-27 (Placeholder),1584.96,7/1/2026,6/30/2027
RVSTDJP2025-08_26-27 (Placeholder),RR008,26-27 (Placeholder),1105.52,7/1/2026,6/30/2027
RVSTDJP2025-09_26-27 (Placeholder),RR009,26-27 (Placeholder),787.28,7/1/2026,6/30/2027
RVSTDJP2025-10_26-27 (Placeholder),RR010,26-27 (Placeholder),1584.96,7/1/2026,6/30/2027
RVSTDJP2025-11_26-27 (Placeholder),RR011,26-27 (Placeholder),1105.52,7/1/2026,6/30/2027
RVSTDJP2025-12_26-27 (Placeholder),RR012,26-27 (Placeholder),787.28,7/1/2026,6/30/2027
RVSTDJP2025-13_26-27 (Placeholder),RR013,26-27 (Placeholder),2181.92,7/1/2026,6/30/2027
RVSTDJP2025-14_26-27 (Placeholder),RR014,26-27 (Placeholder),1496.56,7/1/2026,6/30/2027
RVSTDJP2025-15_26-27 (Placeholder),RR015,26-27 (Placeholder),1072.24,7/1/2026,6/30/2027
RVSTDJP2025-16_26-27 (Placeholder),RR016,26-27 (Placeholder),1920.88,7/1/2026,6/30/2027
RVSTDJP2025-17_26-27 (Placeholder),RR017,26-27 (Placeholder),1330.16,7/1/2026,6/30/2027
RVSTDJP2025-18_26-27 (Placeholder),RR018,26-27 (Placeholder),946.4,7/1/2026,6/30/2027
RVSTDJP2025-19_26-27 (Placeholder),RR019,26-27 (Placeholder),1746.16,7/1/2026,6/30/2027
RVSTDJP2025-20_26-27 (Placeholder),RR020,26-27 (Placeholder),1181.44,7/1/2026,6/30/2027
RVSTDJP2025-21_26-27 (Placeholder),RR021,26-27 (Placeholder),830.96,7/1/2026,6/30/2027
RVSTDJP2025-22_26-27 (Placeholder),RR022,26-27 (Placeholder),1746.16,7/1/2026,6/30/2027
RVSTDJP2025-23_26-27 (Placeholder),RR023,26-27 (Placeholder),1181.44,7/1/2026,6/30/2027
RVSTDJP2025-24_26-27 (Placeholder),RR024,26-27 (Placeholder),830.96,7/1/2026,6/30/2027
RVSTDHP2025-01_26-27 (Placeholder),RR025,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDHP2025-02_26-27 (Placeholder),RR026,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDHP2025-03_26-27 (Placeholder),RR027,26-27 (Placeholder),1006.72,7/1/2026,6/30/2027
RVSTDHP2025-04_26-27 (Placeholder),RR028,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDHP2025-05_26-27 (Placeholder),RR029,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDHP2025-06_26-27 (Placeholder),RR030,26-27 (Placeholder),1006.72,7/1/2026,6/30/2027
RVSTDHP2025-07_26-27 (Placeholder),RR031,26-27 (Placeholder),1856.4,7/1/2026,6/30/2027
RVSTDHP2025-08_26-27 (Placeholder),RR032,26-27 (Placeholder),1267.76,7/1/2026,6/30/2027
RVSTDHP2025-09_26-27 (Placeholder),RR033,26-27 (Placeholder),945.36,7/1/2026,6/30/2027
RVSTDHP2025-10_26-27 (Placeholder),RR034,26-27 (Placeholder),1584.96,7/1/2026,6/30/2027
RVSTDHP2025-11_26-27 (Placeholder),RR035,26-27 (Placeholder),1106.56,7/1/2026,6/30/2027
RVSTDHP2025-12_26-27 (Placeholder),RR036,26-27 (Placeholder),787.28,7/1/2026,6/30/2027
RVSTDHP2025-13_26-27 (Placeholder),RR037,26-27 (Placeholder),2202.72,7/1/2026,6/30/2027
RVSTDHP2025-14_26-27 (Placeholder),RR038,26-27 (Placeholder),1496.56,7/1/2026,6/30/2027
RVSTDHP2025-15_26-27 (Placeholder),RR039,26-27 (Placeholder),1053.52,7/1/2026,6/30/2027
RVSTDHP2025-16_26-27 (Placeholder),RR040,26-27 (Placeholder),2202.72,7/1/2026,6/30/2027
RVSTDHP2025-17_26-27 (Placeholder),RR041,26-27 (Placeholder),1496.56,7/1/2026,6/30/2027
RVSTDHP2025-18_26-27 (Placeholder),RR042,26-27 (Placeholder),1053.52,7/1/2026,6/30/2027
RVSTDHP2025-19_26-27 (Placeholder),RR043,26-27 (Placeholder),1920.88,7/1/2026,6/30/2027
RVSTDHP2025-20_26-27 (Placeholder),RR044,26-27 (Placeholder),1330.16,7/1/2026,6/30/2027
RVSTDHP2025-21_26-27 (Placeholder),RR045,26-27 (Placeholder),946.4,7/1/2026,6/30/2027
RVSTDHP2025-22_26-27 (Placeholder),RR046,26-27 (Placeholder),1746.16,7/1/2026,6/30/2027
RVSTDHP2025-23_26-27 (Placeholder),RR047,26-27 (Placeholder),1181.44,7/1/2026,6/30/2027
RVSTDHP2025-24_26-27 (Placeholder),RR048,26-27 (Placeholder),830.96,7/1/2026,6/30/2027
RVSTDTD2025-01_26-27 (Placeholder),RR058,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDTD2025-02_26-27 (Placeholder),RR059,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDTD2025-03_26-27 (Placeholder),RR060,26-27 (Placeholder),1007.76,7/1/2026,6/30/2027
RVSTDTD2025-04_26-27 (Placeholder),RR061,26-27 (Placeholder),2120.56,7/1/2026,6/30/2027
RVSTDTD2025-05_26-27 (Placeholder),RR062,26-27 (Placeholder),1457.04,7/1/2026,6/30/2027
RVSTDTD2025-06_26-27 (Placeholder),RR063,26-27 (Placeholder),1007.76,7/1/2026,6/30/2027
RVSTDTD2025-07_26-27 (Placeholder),RR064,26-27 (Placeholder),1855.36,7/1/2026,6/30/2027
RVSTDTD2025-08_26-27 (Placeholder),RR065,26-27 (Placeholder),1267.76,7/1/2026,6/30/2027
RVSTDTD2025-09_26-27 (Placeholder),RR066,26-27 (Placeholder),895.44,7/1/2026,6/30/2027
RVSTDTD2025-10_26-27 (Placeholder),RR067,26-27 (Placeholder),1584.96,7/1/2026,6/30/2027
RVSTDTD2025-11_26-27 (Placeholder),RR068,26-27 (Placeholder),1105.52,7/1/2026,6/30/2027
RVSTDTD2025-12_26-27 (Placeholder),RR069,26-27 (Placeholder),787.28,7/1/2026,6/30/2027
RVSTDJP2025-01_27-28 (Placeholder),RR001,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
RVSTDJP2025-02_27-28 (Placeholder),RR002,27-28 (Placeholder),1515.32,7/1/2027,6/30/2028
RVSTDJP2025-03_27-28 (Placeholder),RR003,27-28 (Placeholder),1048.07,7/1/2027,6/30/2028
RVSTDJP2025-04_27-28 (Placeholder),RR004,27-28 (Placeholder),1929.57,7/1/2027,6/30/2028
RVSTDJP2025-05_27-28 (Placeholder),RR005,27-28 (Placeholder),1318.47,7/1/2027,6/30/2028
RVSTDJP2025-06_27-28 (Placeholder),RR006,27-28 (Placeholder),931.26,7/1/2027,6/30/2028
RVSTDJP2025-07_27-28 (Placeholder),RR007,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDJP2025-08_27-28 (Placeholder),RR008,27-28 (Placeholder),1149.74,7/1/2027,6/30/2028
RVSTDJP2025-09_27-28 (Placeholder),RR009,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDJP2025-10_27-28 (Placeholder),RR010,27-28 (Placeholder),1648.36,7/1/2027,6/30/2028
RVSTDJP2025-11_27-28 (Placeholder),RR011,27-28 (Placeholder),1149.74,7/1/2027,6/30/2028
RVSTDJP2025-12_27-28 (Placeholder),RR012,27-28 (Placeholder),818.77,7/1/2027,6/30/2028
RVSTDJP2025-13_27-28 (Placeholder),RR013,27-28 (Placeholder),2269.2,7/1/2027,6/30/2028
RVSTDJP2025-14_27-28 (Placeholder),RR014,27-28 (Placeholder),1556.42,7/1/2027,6/30/2028
RVSTDJP2025-15_27-28 (Placeholder),RR015,27-28 (Placeholder),1115.13,7/1/2027,6/30/2028
RVSTDJP2025-16_27-28 (Placeholder),RR016,27-28 (Placeholder),1997.72,7/1/2027,6/30/2028
RVSTDJP2025-17_27-28 (Placeholder),RR017,27-28 (Placeholder),1383.37,7/1/2027,6/30/2028
RVSTDJP2025-18_27-28 (Placeholder),RR018,27-28 (Placeholder),984.26,7/1/2027,6/30/2028
RVSTDJP2025-19_27-28 (Placeholder),RR019,27-28 (Placeholder),1816.01,7/1/2027,6/30/2028
RVSTDJP2025-20_27-28 (Placeholder),RR020,27-28 (Placeholder),1228.7,7/1/2027,6/30/2028
RVSTDJP2025-21_27-28 (Placeholder),RR021,27-28 (Placeholder),864.2,7/1/2027,6/30/2028
RVSTDJP2025-22_27-28 (Placeholder),RR022,27-28 (Placeholder),1816.01,7/1/2027,6/30/2028
RVSTDJP2025-23_27-28 (Placeholder),RR023,27-28 (Placeholder),1228.7,7/1/2027,6/30/2028
RVSTDJP2025-24_27-28 (Placeholder),RR024,27-28 (Placeholder),864.2,7/1/2027,6/30/2028
RVSTDHP2025-01_27-28 (Placeholder),RR025,27-28 (Placeholder),2205.38,7/1/2027,6/30/2028
