EnrollmentID,ChildID,ClassroomID,CenterID,ScheduleType,RateName,InitialEnrollment,BeginningDate,FinishingDate,Notes
ENR0020,CH0504,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),11/7/2024,11/10/2027,6/30/2028,Aged into new classroom; Schedule change
ENR0020,CH0504,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),11/7/2024,7/1/2028,6/30/2029,Rate policy change
ENR0020,CH0504,CL-JPPS2-01,C-JP,Full-Time,29-30 (Placeholder),11/7/2024,7/1/2029,11/10/2029,Rate policy change
ENR0021,CH0505,CL-JPIN-01,C-JP,Part-Time-2Day,24-25,4/17/2025,4/17/2025,6/30/2025,Initial enrollment
ENR0021,CH0505,CL-JPIN-01,C-JP,Part-Time-2Day,25-26 Grandfathered,4/17/2025,7/1/2025,5/17/2026,Rate policy change
ENR0022,CH0505,CL-JPTO-01,C-JP,Part-Time-3Day,25-26,4/17/2025,5/18/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0022,CH0505,CL-JPTO-01,C-JP,Part-Time-3Day,26-27 (Placeholder),4/17/2025,7/1/2026,4/18/2027,Rate policy change
ENR0023,CH0505,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),4/17/2025,4/19/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0023,CH0505,CL-JPPS1-01,C-JP,Full-Time,27-28 (Placeholder),4/17/2025,7/1/2027,4/19/2028,Rate policy change
ENR0024,CH0505,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),4/17/2025,4/20/2028,6/30/2028,Aged into new classroom
ENR0024,CH0505,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),4/17/2025,7/1/2028,6/30/2029,Rate policy change
ENR0024,CH0505,CL-JPPS2-01,C-JP,Full-Time,29-30 (Placeholder),4/17/2025,7/1/2029,4/20/2030,Rate policy change
ENR0025,CH0506,CL-JPIN-01,C-JP,Part-Time-3Day,24-25,2/7/2025,2/7/2025,6/30/2025,Initial enrollment
ENR0025,CH0506,CL-JPIN-01,C-JP,Part-Time-3Day,25-26 Grandfathered,2/7/2025,7/1/2025,10/7/2025,Rate policy change
ENR0026,CH0506,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,2/7/2025,10/8/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0026,CH0506,CL-JPTO-01,C-JP,Full-Time,25-26,2/7/2025,6/30/2026,6/30/2026,Rate policy change
ENR0026,CH0506,CL-JPTO-01,C-JP,Full-Time,26-27 (Placeholder),2/7/2025,7/1/2026,9/8/2026,Rate policy change
ENR0027,CH0506,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),2/7/2025,9/9/2026,6/30/2027,Aged into new classroom
ENR0027,CH0506,CL-JPPS1-01,C-JP,Full-Time,27-28 (Placeholder),2/7/2025,7/1/2027,9/9/2027,Rate policy change
ENR0028,CH0506,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),2/7/2025,9/10/2027,6/30/2028,Aged into new classroom
ENR0028,CH0506,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),2/7/2025,7/1/2028,6/30/2029,Rate policy change
ENR0028,CH0506,CL-JPPS2-01,C-JP,Full-Time,29-30 (Placeholder),2/7/2025,7/1/2029,9/10/2029,Rate policy change
ENR0029,CH0507,CL-JPIN-01,C-JP,Part-Time-2Day,24-25,3/6/2025,3/6/2025,6/30/2025,Initial enrollment
ENR0029,CH0507,CL-JPIN-01,C-JP,Part-Time-2Day,25-26 Grandfathered,3/6/2025,7/1/2025,2/6/2026,Rate policy change
ENR0030,CH0507,CL-JPTO-01,C-JP,Part-Time-3Day,25-26,3/6/2025,2/7/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0030,CH0507,CL-JPTO-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/6/2025,7/1/2026,1/7/2027,Rate policy change
ENR0031,CH0507,CL-JPPS1-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/6/2025,1/8/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0031,CH0507,CL-JPPS1-01,C-JP,Part-Time-3Day,27-28 (Placeholder),3/6/2025,7/1/2027,1/8/2028,Rate policy change
ENR0032,CH0507,CL-JPPS2-01,C-JP,Part-Time-2Day,27-28 (Placeholder),3/6/2025,1/9/2028,6/30/2028,Aged into new classroom; Schedule change
ENR0032,CH0507,CL-JPPS2-01,C-JP,Part-Time-2Day,28-29 (Placeholder),3/6/2025,7/1/2028,6/30/2029,Rate policy change
ENR0032,CH0507,CL-JPPS2-01,C-JP,Part-Time-2Day,29-30 (Placeholder),3/6/2025,7/1/2029,1/9/2030,Rate policy change
ENR0033,CH0508,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,3/9/2025,3/9/2025,6/9/2025,Initial enrollment
ENR0034,CH0508,CL-JPPS1-01,C-JP,Part-Time-3Day,24-25,3/9/2025,6/10/2025,6/30/2025,Aged into new classroom; Schedule change
ENR0034,CH0508,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26 Grandfathered,3/9/2025,7/1/2025,6/10/2026,Rate policy change
ENR0035,CH0508,CL-JPPS2-01,C-JP,Full-Time,25-26,3/9/2025,6/11/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0035,CH0508,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),3/9/2025,7/1/2026,6/30/2027,Rate policy change
ENR0035,CH0508,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),3/9/2025,7/1/2027,6/11/2028,Rate policy change
ENR0036,CH0509,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,3/27/2025,3/27/2025,6/30/2025,Initial enrollment
ENR0036,CH0509,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,3/27/2025,7/1/2025,8/27/2025,Rate policy change
ENR0037,CH0509,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26 Grandfathered,3/27/2025,8/28/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0037,CH0509,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26,3/27/2025,6/30/2026,6/30/2026,Rate policy change
ENR0037,CH0509,CL-JPPS1-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/27/2025,7/1/2026,8/28/2026,Rate policy change
ENR0038,CH0509,CL-JPPS2-01,C-JP,Part-Time-2Day,26-27 (Placeholder),3/27/2025,8/29/2026,6/30/2027,Aged into new classroom; Schedule change
ENR0038,CH0509,CL-JPPS2-01,C-JP,Part-Time-2Day,27-28 (Placeholder),3/27/2025,7/1/2027,6/30/2028,Rate policy change
ENR0038,CH0509,CL-JPPS2-01,C-JP,Part-Time-2Day,28-29 (Placeholder),3/27/2025,7/1/2028,8/29/2028,Rate policy change
ENR0039,CH0510,CL-JPIN-01,C-JP,Part-Time-2Day,24-25,11/12/2024,11/12/2024,2/12/2025,Initial enrollment
ENR0040,CH0510,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,11/12/2024,2/13/2025,6/30/2025,Aged into new classroom; Schedule change
ENR0040,CH0510,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,11/12/2024,7/1/2025,1/13/2026,Rate policy change
ENR0041,CH0510,CL-JPPS1-01,C-JP,Part-Time-2Day,25-26,11/12/2024,1/14/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0041,CH0510,CL-JPPS1-01,C-JP,Part-Time-2Day,26-27 (Placeholder),11/12/2024,7/1/2026,1/14/2027,Rate policy change
ENR0042,CH0510,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),11/12/2024,1/15/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0042,CH0510,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),11/12/2024,7/1/2027,6/30/2028,Rate policy change
ENR0042,CH0510,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),11/12/2024,7/1/2028,1/15/2029,Rate policy change
ENR0043,CH0511,CL-JPTO-01,C-JP,Full-Time,24-25,11/7/2024,11/7/2024,6/30/2025,Initial enrollment
ENR0043,CH0511,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,11/7/2024,7/1/2025,9/7/2025,Rate policy change
ENR0044,CH0511,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,11/7/2024,9/8/2025,6/29/2026,Aged into new classroom
ENR0044,CH0511,CL-JPPS1-01,C-JP,Full-Time,25-26,11/7/2024,6/30/2026,6/30/2026,Rate policy change
ENR0044,CH0511,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),11/7/2024,7/1/2026,9/8/2026,Rate policy change
ENR0045,CH0511,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),11/7/2024,9/9/2026,6/30/2027,Aged into new classroom
ENR0045,CH0511,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),11/7/2024,7/1/2027,6/30/2028,Rate policy change
ENR0045,CH0511,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),11/7/2024,7/1/2028,9/9/2028,Rate policy change
ENR0046,CH0512,CL-JPTO-01,C-JP,Full-Time,24-25,1/5/2025,1/5/2025,6/30/2025,Initial enrollment
ENR0046,CH0512,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,1/5/2025,7/1/2025,9/5/2025,Rate policy change
ENR0047,CH0512,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,1/5/2025,9/6/2025,6/29/2026,Aged into new classroom
ENR0047,CH0512,CL-JPPS1-01,C-JP,Full-Time,25-26,1/5/2025,6/30/2026,6/30/2026,Rate policy change
ENR0047,CH0512,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),1/5/2025,7/1/2026,9/6/2026,Rate policy change
ENR0048,CH0512,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),1/5/2025,9/7/2026,6/30/2027,Aged into new classroom
ENR0048,CH0512,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),1/5/2025,7/1/2027,6/30/2028,Rate policy change
ENR0048,CH0512,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),1/5/2025,7/1/2028,9/7/2028,Rate policy change
ENR0049,CH0513,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,12/17/2024,12/17/2024,6/30/2025,Initial enrollment
ENR0049,CH0513,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,12/17/2024,7/1/2025,9/17/2025,Rate policy change
ENR0050,CH0513,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,12/17/2024,9/18/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0050,CH0513,CL-JPPS1-01,C-JP,Full-Time,25-26,12/17/2024,6/30/2026,6/30/2026,Rate policy change
ENR0050,CH0513,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),12/17/2024,7/1/2026,9/18/2026,Rate policy change
ENR0051,CH0513,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),12/17/2024,9/19/2026,6/30/2027,Aged into new classroom
ENR0051,CH0513,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),12/17/2024,7/1/2027,6/30/2028,Rate policy change
ENR0051,CH0513,CL-JPPS2-01,C-JP,Full-Time,28-29 (Placeholder),12/17/2024,7/1/2028,9/19/2028,Rate policy change
ENR0052,CH0514,CL-JPTO-01,C-JP,Full-Time,24-25,4/17/2025,4/17/2025,6/30/2025,Initial enrollment
ENR0052,CH0514,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,4/17/2025,7/1/2025,9/17/2025,Rate policy change
ENR0053,CH0514,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,4/17/2025,9/18/2025,6/29/2026,Aged into new classroom
ENR0053,CH0514,CL-JPPS1-01,C-JP,Full-Time,25-26,4/17/2025,6/30/2026,6/30/2026,Rate policy change
ENR0053,CH0514,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),4/17/2025,7/1/2026,9/18/2026,Rate policy change
ENR0054,CH0514,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),4/17/2025,9/19/2026,6/30/2027,Aged into new classroom; Schedule change
ENR0054,CH0514,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),4/17/2025,7/1/2027,6/30/2028,Rate policy change
ENR0054,CH0514,CL-JPPS2-01,C-JP,Part-Time-3Day,28-29 (Placeholder),4/17/2025,7/1/2028,9/19/2028,Rate policy change
ENR0055,CH0515,CL-JPIN-01,C-JP,Part-Time-3Day,24-25,12/3/2024,12/3/2024,4/3/2025,Initial enrollment
ENR0056,CH0515,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,12/3/2024,4/4/2025,6/30/2025,Aged into new classroom
ENR0056,CH0515,CL-JPTO-01,C-JP,Part-Time-3Day,25-26 Grandfathered,12/3/2024,7/1/2025,3/4/2026,Rate policy change
ENR0057,CH0515,CL-JPPS1-01,C-JP,Full-Time,25-26,12/3/2024,3/5/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0057,CH0515,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),12/3/2024,7/1/2026,3/5/2027,Rate policy change
ENR0058,CH0515,CL-JPPS2-01,C-JP,Part-Time-2Day,26-27 (Placeholder),12/3/2024,3/6/2027,6/30/2027,Aged into new classroom; Schedule change
ENR0058,CH0515,CL-JPPS2-01,C-JP,Part-Time-2Day,27-28 (Placeholder),12/3/2024,7/1/2027,6/30/2028,Rate policy change
ENR0058,CH0515,CL-JPPS2-01,C-JP,Part-Time-2Day,28-29 (Placeholder),12/3/2024,7/1/2028,3/6/2029,Rate policy change
ENR0059,CH0516,CL-JPTO-01,C-JP,Full-Time,24-25,1/13/2025,1/13/2025,6/30/2025,Initial enrollment
ENR0059,CH0516,CL-JPTO-01,C-JP,Full-Time,25-26 Grandfathered,1/13/2025,7/1/2025,12/13/2025,Rate policy change
ENR0060,CH0516,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,1/13/2025,12/14/2025,6/29/2026,Aged into new classroom
ENR0060,CH0516,CL-JPPS1-01,C-JP,Full-Time,25-26,1/13/2025,6/30/2026,6/30/2026,Rate policy change
ENR0060,CH0516,CL-JPPS1-01,C-JP,Full-Time,26-27 (Placeholder),1/13/2025,7/1/2026,12/14/2026,Rate policy change
ENR0061,CH0516,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),1/13/2025,12/15/2026,6/30/2027,Aged into new classroom; Schedule change
ENR0061,CH0516,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),1/13/2025,7/1/2027,6/30/2028,Rate policy change
ENR0061,CH0516,CL-JPPS2-01,C-JP,Part-Time-3Day,28-29 (Placeholder),1/13/2025,7/1/2028,12/15/2028,Rate policy change
ENR0062,CH0517,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,1/26/2025,1/26/2025,3/26/2025,Initial enrollment
ENR0063,CH0517,CL-JPPS1-01,C-JP,Part-Time-3Day,24-25,1/26/2025,3/27/2025,6/30/2025,Aged into new classroom
ENR0063,CH0517,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26 Grandfathered,1/26/2025,7/1/2025,3/27/2026,Rate policy change
ENR0064,CH0517,CL-JPPS2-01,C-JP,Part-Time-2Day,25-26,1/26/2025,3/28/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0064,CH0517,CL-JPPS2-01,C-JP,Part-Time-2Day,26-27 (Placeholder),1/26/2025,7/1/2026,6/30/2027,Rate policy change
ENR0064,CH0517,CL-JPPS2-01,C-JP,Part-Time-2Day,27-28 (Placeholder),1/26/2025,7/1/2027,3/28/2028,Rate policy change
ENR0065,CH0518,CL-JPPS1-01,C-JP,Part-Time-3Day,24-25,3/1/2025,3/1/2025,6/30/2025,Initial enrollment
ENR0065,CH0518,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26 Grandfathered,3/1/2025,7/1/2025,8/1/2025,Rate policy change
ENR0066,CH0518,CL-JPPS2-01,C-JP,Part-Time-2Day,25-26 Grandfathered,3/1/2025,8/2/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0066,CH0518,CL-JPPS2-01,C-JP,Part-Time-2Day,25-26,3/1/2025,6/30/2026,6/30/2026,Rate policy change
ENR0066,CH0518,CL-JPPS2-01,C-JP,Part-Time-2Day,26-27 (Placeholder),3/1/2025,7/1/2026,6/30/2027,Rate policy change
ENR0066,CH0518,CL-JPPS2-01,C-JP,Part-Time-2Day,27-28 (Placeholder),3/1/2025,7/1/2027,8/2/2027,Rate policy change
ENR0067,CH0519,CL-JPTO-01,C-JP,Full-Time,24-25,10/27/2024,10/27/2024,3/27/2025,Initial enrollment
ENR0068,CH0519,CL-JPPS1-01,C-JP,Full-Time,24-25,10/27/2024,3/28/2025,6/30/2025,Aged into new classroom
ENR0068,CH0519,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,10/27/2024,7/1/2025,3/28/2026,Rate policy change
ENR0069,CH0519,CL-JPPS2-01,C-JP,Full-Time,25-26,10/27/2024,3/29/2026,6/30/2026,Aged into new classroom; Rate policy change
ENR0069,CH0519,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),10/27/2024,7/1/2026,6/30/2027,Rate policy change
ENR0069,CH0519,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),10/27/2024,7/1/2027,3/29/2028,Rate policy change
ENR0070,CH0520,CL-JPTO-01,C-JP,Full-Time,24-25,11/9/2024,11/9/2024,3/9/2025,Initial enrollment
ENR0071,CH0520,CL-JPPS1-01,C-JP,Full-Time,24-25,11/9/2024,3/10/2025,6/30/2025,Aged into new classroom
ENR0071,CH0520,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,11/9/2024,7/1/2025,3/10/2026,Rate policy change
ENR0072,CH0520,CL-JPPS2-01,C-JP,Part-Time-3Day,25-26,11/9/2024,3/11/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0072,CH0520,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),11/9/2024,7/1/2026,6/30/2027,Rate policy change
ENR0072,CH0520,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),11/9/2024,7/1/2027,3/11/2028,Rate policy change
ENR0073,CH0521,CL-JPPS1-01,C-JP,Part-Time-3Day,24-25,2/14/2025,2/14/2025,5/14/2025,Initial enrollment
ENR0074,CH0521,CL-JPPS2-01,C-JP,Full-Time,24-25,2/14/2025,5/15/2025,6/30/2025,Aged into new classroom; Schedule change
ENR0074,CH0521,CL-JPPS2-01,C-JP,Full-Time,25-26 Grandfathered,2/14/2025,7/1/2025,6/29/2026,Rate policy change
ENR0074,CH0521,CL-JPPS2-01,C-JP,Full-Time,25-26,2/14/2025,6/30/2026,6/30/2026,Rate policy change
ENR0074,CH0521,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),2/14/2025,7/1/2026,5/15/2027,Rate policy change
ENR0075,CH0522,CL-JPTO-01,C-JP,Part-Time-3Day,24-25,10/23/2024,10/23/2024,12/23/2024,Initial enrollment
ENR0076,CH0522,CL-JPPS1-01,C-JP,Full-Time,24-25,10/23/2024,12/24/2024,6/30/2025,Aged into new classroom; Schedule change
ENR0076,CH0522,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,10/23/2024,7/1/2025,12/24/2025,Rate policy change
ENR0077,CH0522,CL-JPPS2-01,C-JP,Part-Time-3Day,25-26 Grandfathered,10/23/2024,12/25/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0077,CH0522,CL-JPPS2-01,C-JP,Part-Time-3Day,25-26,10/23/2024,6/30/2026,6/30/2026,Rate policy change
ENR0077,CH0522,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),10/23/2024,7/1/2026,6/30/2027,Rate policy change
ENR0077,CH0522,CL-JPPS2-01,C-JP,Part-Time-3Day,27-28 (Placeholder),10/23/2024,7/1/2027,12/25/2027,Rate policy change
ENR0078,CH0523,CL-JPPS1-01,C-JP,Part-Time-3Day,24-25,1/29/2025,1/29/2025,6/30/2025,Initial enrollment
ENR0078,CH0523,CL-JPPS1-01,C-JP,Part-Time-3Day,25-26 Grandfathered,1/29/2025,7/1/2025,10/29/2025,Rate policy change
ENR0079,CH0523,CL-JPPS2-01,C-JP,Full-Time,25-26 Grandfathered,1/29/2025,10/30/2025,6/29/2026,Aged into new classroom; Schedule change
ENR0079,CH0523,CL-JPPS2-01,C-JP,Full-Time,25-26,1/29/2025,6/30/2026,6/30/2026,Rate policy change
ENR0079,CH0523,CL-JPPS2-01,C-JP,Full-Time,26-27 (Placeholder),1/29/2025,7/1/2026,6/30/2027,Rate policy change
ENR0079,CH0523,CL-JPPS2-01,C-JP,Full-Time,27-28 (Placeholder),1/29/2025,7/1/2027,10/30/2027,Rate policy change
ENR0080,CH0524,CL-JPPS1-01,C-JP,Full-Time,24-25,3/23/2025,3/23/2025,6/30/2025,Initial enrollment
ENR0080,CH0524,CL-JPPS1-01,C-JP,Full-Time,25-26 Grandfathered,3/23/2025,7/1/2025,1/23/2026,Rate policy change
ENR0081,CH0524,CL-JPPS2-01,C-JP,Part-Time-3Day,25-26,3/23/2025,1/24/2026,6/30/2026,Aged into new classroom; Schedule change; Rate policy change
ENR0081,CH0524,CL-JPPS2-01,C-JP,Part-Time-3Day,26-27 (Placeholder),3/23/2025,7/1/2026,6/30/2027,Rate policy change
