PaymentID,ChildID,GivingEntityID,PaymentDate,LinkedInvoiceID,AmountPaid,PaymentMethod,Notes
PMID0000000000043,CH0537,GID0537,5/8/2025,INV2025040040,668,TuitionExpress,Family payment
PMID0000000000044,CH0538,GID0538,4/30/2025,INV2025040041,1241,TuitionExpress,Family payment
PMID0000000000045,CH0539,GID0539,5/9/2025,INV2025040042,877,TuitionExpress,Family payment
PMID0000000000046,CH0540,GID0540,5/8/2025,INV2025040043,877,TuitionExpress,Family payment
PMID0000000000047,CH0541,GID0541,5/3/2025,INV2025040044,877,TuitionExpress,Family payment
PMID0000000000048,CH0542,SUB001,5/27/2025,INV2025040045,877,Agency ACH,Subsidy payment
PMID0000000000049,CH0543,GID0543,5/1/2025,INV2025040046,877,Check,Family payment
PMID0000000000050,CH0544,GID0544,5/3/2025,INV2025040047,1241,TuitionExpress,Family payment
PMID0000000000051,CH0545,GID0545,5/10/2025,INV2025040048,877,TuitionExpress,Family payment
PMID0000000000052,CH0546,GID0546,5/7/2025,INV2025040049,1241,TuitionExpress,Family payment
PMID0000000000053,CH0547,GID0547,5/8/2025,INV2025040050,617,TuitionExpress,Family payment
PMID0000000000054,CH0548,GID0548,5/5/2025,INV2025040051,617,TuitionExpress,Family payment
PMID0000000000055,CH0549,GID0549,5/10/2025,INV2025040052,877,TuitionExpress,Family payment
PMID0000000000056,CH0550,SUB002,5/31/2025,INV2025040053,524.45,Agency ACH,Subsidy payment
PMID0000000000057,CH0550,CH0550-FAM,5/2/2025,INV2025040053,92.55,TuitionExpress,Family payment
PMID0000000000058,CH0551,GID0551,5/4/2025,INV2025040054,877,TuitionExpress,Family payment
PMID0000000000059,CH0552,GID0552,5/4/2025,INV2025040055,1241,TuitionExpress,Family payment
PMID0000000000060,CH0553,SUB001,5/31/2025,INV2025040056,1241,Wire Transfer,Subsidy payment
PMID0000000000061,CH0554,GID0554,5/4/2025,INV2025040057,1241,TuitionExpress,Family payment
PMID0000000000062,CH0555,SUB001,5/16/2025,INV2025040058,943,Agency ACH,Subsidy payment
PMID0000000000063,CH0556,GID0556,5/7/2025,INV2025040059,877,TuitionExpress,Family payment
PMID0000000000064,CH0557,SUB003,6/1/2025,INV2025040060,657.75,Wire Transfer,Subsidy payment
PMID0000000000065,CH0557,CH0557-FAM,5/2/2025,INV2025040060,219.25,TuitionExpress,Family payment
PMID0000000000066,CH0558,GID0558,5/2/2025,INV2025040061,1371,TuitionExpress,Family payment
PMID0000000000067,CH0559,SUB001,5/16/2025,INV2025040062,1241,Wire Transfer,Subsidy payment
PMID0000000000068,CH0560,GID0560,5/5/2025,INV2025040063,943,TuitionExpress,Family payment
PMID0000000000069,CH0561,GID0561,5/6/2025,INV2025040064,877,TuitionExpress,Family payment
PMID0000000000070,CH0562,GID0562,5/2/2025,INV2025040065,1241,ACH,Family payment
PMID0000000000071,CH0602,GID0602,5/5/2025,INV2025040066,1773,ACH,Family payment
PMID0000000000072,CH0604,GID0604,5/3/2025,INV2025040067,1773,TuitionExpress,Family payment
PMID0000000000073,CH0605,GID0605,5/7/2025,INV2025040068,713,TuitionExpress,Family payment
PMID0000000000074,CH0606,GID0606,5/3/2025,INV2025040069,1067,TuitionExpress,Family payment
PMID0000000000075,CH0607,GID0607,5/1/2025,INV2025040070,1720,TuitionExpress,Family payment
PMID0000000000076,CH0608,GID0608,5/8/2025,INV2025040071,1720,ACH,Family payment
PMID0000000000077,CH0609,GID0609,5/23/2025,INV2025040072,1720,TuitionExpress,Family payment
PMID0000000000078,CH0609,GID0609,5/6/2025,INV2025040073,1552,TuitionExpress,Family payment
PMID0000000000079,CH0610,GID0610,5/4/2025,INV2025040074,1720,TuitionExpress,Family payment
PMID0000000000080,CH0611,GID0611,5/10/2025,INV2025040075,1251,TuitionExpress,Family payment
PMID0000000000081,CH0611,GID0611,5/1/2025,INV2025040076,1769,TuitionExpress,Family payment
PMID0000000000082,CH0612,GID0612,5/1/2025,INV2025040077,1720,Check,Family payment
PMID0000000000083,CH0613,GID0613,5/6/2025,INV2025040078,1552,TuitionExpress,Family payment
PMID0000000000084,CH0614,GID0614,5/6/2025,INV2025040079,1060,TuitionExpress,Family payment
PMID0000000000085,CH0615,SUB001,6/5/2025,INV2025040080,1112,Agency ACH,Subsidy payment
PMID0000000000086,CH0616,SUB001,6/3/2025,INV2025040081,1112,Wire Transfer,Subsidy payment
PMID0000000000087,CH0617,GID0617,5/9/2025,INV2025040082,1060,TuitionExpress,Family payment
PMID0000000000088,CH0618,GID0618,5/8/2025,INV2025040083,1060,TuitionExpress,Family payment
PMID0000000000089,CH0619,GID0619,5/1/2025,INV2025040084,790,TuitionExpress,Family payment
PMID0000000000090,CH0620,GID0620,5/3/2025,INV2025040085,1552,TuitionExpress,Family payment
PMID0000000000091,CH0621,GID0621,5/3/2025,INV2025040086,1552,TuitionExpress,Family payment
PMID0000000000092,CH0622,GID0622,5/10/2025,INV2025040087,1552,ACH,Family payment
PMID0000000000093,CH0623,GID0623,5/2/2025,INV2025040088,1060,TuitionExpress,Family payment
PMID0000000000094,CH0624,GID0624,5/18/2025,INV2025040089,1606,TuitionExpress,Family payment
PMID0000000000095,CH0625,GID0625,5/7/2025,INV2025040090,1060,TuitionExpress,Family payment
PMID0000000000096,CH0626,GID0626,5/7/2025,INV2025040091,1060,TuitionExpress,Family payment
PMID0000000000097,CH0627,GID0627,5/7/2025,INV2025040092,1060,TuitionExpress,Family payment
PMID0000000000098,CH0628,GID0628,5/8/2025,INV2025040093,988,TuitionExpress,Family payment
PMID0000000000099,CH0629,GID0629,5/3/2025,INV2025040094,925,TuitionExpress,Family payment
PMID0000000000100,CH0630,GID0630,5/3/2025,INV2025040095,925,TuitionExpress,Family payment
PMID0000000000101,CH0631,GID0631,5/5/2025,INV2025040096,1325,TuitionExpress,Family payment
PMID0000000000102,CH0632,GID0632,5/2/2025,INV2025040097,1060,TuitionExpress,Family payment
PMID0000000000103,CH0632,GID0632,5/6/2025,INV2025040098,1325,TuitionExpress,Family payment
PMID0000000000104,CH0633,GID0633,4/30/2025,INV2025040099,925,TuitionExpress,Family payment
PMID0000000000105,CH0634,GID0634,5/5/2025,INV2025040100,1339.48,TuitionExpress,Family payment
PMID0000000000106,CH0635,GID0635,5/8/2025,INV2025040101,1862,TuitionExpress,Family payment
PMID0000000000107,CH0636,GID0636,5/7/2025,INV2025040102,1257,TuitionExpress,Family payment
PMID0000000000108,CH0637,GID0637,5/2/2025,INV2025040103,1862,TuitionExpress,Family payment
PMID0000000000109,CH0645,GID0645,5/6/2025,INV2025040104,762,TuitionExpress,Family payment
PMID0000000000110,CH0646,SUB001,6/2/2025,INV2025040105,1088,Agency ACH,Subsidy payment
PMID0000000000111,CH0646,SUB001,5/17/2025,INV2025040106,489,Wire Transfer,Subsidy payment
PMID0000000000112,CH0648,GID0648,5/3/2025,INV2025040107,1128,TuitionExpress,Family payment
PMID0000000000113,CH0649,GID0649,5/6/2025,INV2025040108,762,TuitionExpress,Family payment
PMID0000000000114,ChildA-1007,FAM0711,5/5/2025,INV2025040109,514.35,TuitionExpress,Family payment
PMID0000000000115,ChildA-1010,FAM0069,5/3/2025,INV2025040110,1128,TuitionExpress,Family payment
PMID0000000000116,ChildA-1065,IND0120,5/18/2025,INV2025040111,762,TuitionExpress,Family payment
PMID0000000000117,ChildA-1127,SUB001,6/2/2025,INV2025040112,762,Agency ACH,Subsidy payment
PMID0000000000118,ChildA-1158,IND0642,5/1/2025,INV2025040113,1241,TuitionExpress,Family payment
PMID0000000000119,ChildA-1181,FAM0532,5/4/2025,INV2025040114,658,TuitionExpress,Family payment
PMID0000000000120,ChildA-1276,FAM0093,5/3/2025,INV2025040115,1128,TuitionExpress,Family payment
PMID0000000000121,ChildA-1311,FAM0311,5/4/2025,INV2025040116,689,TuitionExpress,Family payment
PMID0000000000122,ChildA-1356,FAM1018,4/30/2025,INV2025040117,1257,TuitionExpress,Family payment
PMID0000000000123,ChildA-1356,FAM1018,5/5/2025,INV2025040118,1257,TuitionExpress,Family payment
PMID0000000000124,ChildA-1454,FAM0920,5/5/2025,INV2025040119,943,TuitionExpress,Family payment
PMID0000000000125,ChildA-1454,FAM0920,5/8/2025,INV2025040120,877,TuitionExpress,Family payment
PMID0000000000126,ChildA-1466,FAM0095,5/7/2025,INV2025040121,1612,ACH,Family payment
PMID0000000000127,ChildA-1466,FAM0095,5/3/2025,INV2025040122,489,TuitionExpress,Family payment
PMID0000000000128,ChildA-1473,FAM0284,5/7/2025,INV2025040123,762,TuitionExpress,Family payment
PMID0000000000129,ChildA-1503,IND0125,5/5/2025,INV2025040124,1128,TuitionExpress,Family payment
PMID0000000000130,ChildA-1656,FAM0200,5/9/2025,INV2025040125,489,TuitionExpress,Family payment
PMID0000000000131,ChildA-1656,SUB002,6/6/2025,INV2025040126,415.65,Wire Transfer,Subsidy payment
PMID0000000000132,ChildA-1656,ChildA-1656-FAM,5/6/2025,INV2025040126,73.35,TuitionExpress,Family payment
PMID0000000000133,ChildA-1671,FAM0517,5/7/2025,INV2025040127,877,TuitionExpress,Family payment
PMID0000000000134,ChildA-1857,FAM0904,5/22/2025,INV2025040128,762,TuitionExpress,Family payment
PMID0000000000135,ChildA-1857,FAM0904,5/6/2025,INV2025040129,762,TuitionExpress,Family payment
PMID0000000000136,ChildA-2065,FAM0831,5/4/2025,INV2025040130,1128,ACH,Family payment
PMID0000000000137,ChildA-2183,FAM0146,5/8/2025,INV2025040131,1128,TuitionExpress,Family payment
PMID0000000000138,ChildA-2270,FAM0179,5/4/2025,INV2025040132,1128,ACH,Family payment
PMID0000000000139,ChildA-1754,FAM0256,2/1/1998,INV1998010001,1105,Credit Card,Family payment
PMID0000000000140,ChildA-1003,IND0092,3/8/1998,INV1998020001,1396,Check,Family payment
PMID0000000000141,ChildA-1754,FAM0256,3/2/1998,INV1998020002,1105,Check,Family payment
PMID0000000000142,ChildA-1003,IND0092,4/9/1998,INV1998030001,1396,Credit Card,Family payment
PMID0000000000143,ChildA-1754,FAM0256,3/31/1998,INV1998030002,1105,ACH,Family payment
PMID0000000000144,ChildA-2220,IND0126,4/6/1998,INV1998030003,1106,ACH,Family payment
PMID0000000000145,ChildA-1003,IND0092,5/2/1998,INV1998040001,1396,ACH,Family payment
PMID0000000000146,ChildA-1085,FAM0621,5/8/1998,INV1998040002,540,Credit Card,Family payment
PMID0000000000147,ChildA-1754,FAM0256,5/8/1998,INV1998040003,1105,ACH,Family payment
PMID0000000000148,ChildA-2220,IND0126,5/6/1998,INV1998040004,1106,ACH,Family payment
PMID0000000000149,ChildA-1003,IND0092,6/1/1998,INV1998050001,1396,ACH,Family payment
PMID0000000000150,ChildA-1085,FAM0621,6/3/1998,INV1998050002,540,Check,Family payment
PMID0000000000151,ChildA-1754,FAM0256,6/9/1998,INV1998050003,1105,Check,Family payment
PMID0000000000152,ChildA-2220,IND0126,6/7/1998,INV1998050004,1106,ACH,Family payment
PMID0000000000153,ChildA-2245,FAM0574,6/10/1998,INV1998050005,896,Check,Family payment
PMID0000000000154,ChildA-1003,IND0092,7/8/1998,INV1998060001,1396,Credit Card,Family payment
PMID0000000000155,ChildA-1085,FAM0621,7/1/1998,INV1998060002,540,Check,Family payment
PMID0000000000156,ChildA-1754,FAM0256,7/9/1998,INV1998060003,1105,Check,Family payment
PMID0000000000157,ChildA-1794,IND0011,7/6/1998,INV1998060004,540,ACH,Family payment
PMID0000000000158,ChildA-2220,IND0126,6/30/1998,INV1998060005,1106,ACH,Family payment
PMID0000000000159,ChildA-2245,FAM0574,7/3/1998,INV1998060006,896,ACH,Family payment
PMID0000000000160,ChildA-1003,IND0092,8/10/1998,INV1998070001,1396,Credit Card,Family payment
PMID0000000000161,ChildA-1003,IND0092,8/8/1998,INV1998070002,950,ACH,Family payment
PMID0000000000162,ChildA-1085,FAM0621,8/6/1998,INV1998070003,540,Credit Card,Family payment
PMID0000000000163,ChildA-1318,IND0276,8/6/1998,INV1998070004,1105,Credit Card,Family payment
PMID0000000000164,ChildA-1711,IND0040,8/6/1998,INV1998070005,896,ACH,Family payment
PMID0000000000165,ChildA-1754,FAM0256,8/8/1998,INV1998070006,1105,Credit Card,Family payment
PMID0000000000166,ChildA-1794,IND0011,8/6/1998,INV1998070007,540,Check,Family payment
PMID0000000000167,ChildA-1807,IND0493,8/7/1998,INV1998070008,772.34,Credit Card,Family payment
PMID0000000000168,ChildA-2220,IND0126,8/7/1998,INV1998070009,1106,Check,Family payment
PMID0000000000169,ChildA-2245,FAM0574,8/7/1998,INV1998070010,896,Check,Family payment
PMID0000000000170,ChildA-1003,IND0092,9/3/1998,INV1998080001,950,Credit Card,Family payment
PMID0000000000171,ChildA-1085,FAM0621,9/1/1998,INV1998080002,540,Credit Card,Family payment
PMID0000000000172,ChildA-1266,FAM0157,9/1/1998,INV1998080003,1323,Check,Family payment
PMID0000000000173,ChildA-1318,IND0276,9/8/1998,INV1998080004,1105,Credit Card,Family payment
PMID0000000000174,ChildA-1318,IND0276,9/3/1998,INV1998080005,896,Credit Card,Family payment
PMID0000000000175,ChildA-1711,IND0040,9/8/1998,INV1998080006,896,ACH,Family payment
PMID0000000000176,ChildA-1754,FAM0256,9/6/1998,INV1998080007,1105,Credit Card,Family payment
PMID0000000000177,ChildA-1794,IND0011,9/4/1998,INV1998080008,540,ACH,Family payment
PMID0000000000178,ChildA-1807,IND0493,9/7/1998,INV1998080009,896,Credit Card,Family payment
PMID0000000000179,ChildA-2220,IND0126,9/8/1998,INV1998080010,1106,Check,Family payment
PMID0000000000180,ChildA-1003,IND0092,10/3/1998,INV1998090001,950,ACH,Family payment
PMID0000000000181,ChildA-1064,FAM0280,10/5/1998,INV1998090002,1396,Credit Card,Family payment
PMID0000000000182,ChildA-1266,FAM0157,10/10/1998,INV1998090003,1323,Credit Card,Family payment
PMID0000000000183,ChildA-1318,IND0276,10/8/1998,INV1998090004,896,Credit Card,Family payment
PMID0000000000184,ChildA-1711,IND0040,10/1/1998,INV1998090005,896,Credit Card,Family payment
PMID0000000000185,ChildA-1754,FAM0256,10/10/1998,INV1998090006,1044.77,Credit Card,Family payment
PMID0000000000186,ChildA-1754,FAM0256,10/6/1998,INV1998090007,540,Check,Family payment
PMID0000000000187,ChildA-1794,IND0011,10/8/1998,INV1998090008,540,Credit Card,Family payment
PMID0000000000188,ChildA-1807,IND0493,10/7/1998,INV1998090009,896,ACH,Family payment
PMID0000000000189,ChildA-2220,IND0126,10/24/1998,INV1998090010,1106,Credit Card,Family payment
PMID0000000000190,ChildA-1003,IND0092,11/10/1998,INV1998100001,950,Check,Family payment
PMID0000000000191,ChildA-1064,FAM0280,10/31/1998,INV1998100002,1396,Credit Card,Family payment
PMID0000000000192,ChildA-1266,FAM0157,11/6/1998,INV1998100003,1323,Check,Family payment
PMID0000000000193,ChildA-1318,IND0276,11/2/1998,INV1998100004,896,Check,Family payment
PMID0000000000194,ChildA-1711,IND0040,11/10/1998,INV1998100005,896,Check,Family payment
PMID0000000000195,ChildA-1754,FAM0256,11/10/1998,INV1998100006,540,Check,Family payment
PMID0000000000196,ChildA-1794,IND0011,11/7/1998,INV1998100007,540,ACH,Family payment
PMID0000000000197,ChildA-1807,IND0493,11/5/1998,INV1998100008,896,ACH,Family payment
PMID0000000000198,ChildA-2220,IND0126,11/7/1998,INV1998100009,1106,Credit Card,Family payment
PMID0000000000199,ChildA-2412,IND0511,11/3/1998,INV1998100010,1500,ACH,Family payment
PMID0000000000200,ChildA-1003,IND0092,12/4/1998,INV1998110001,950,ACH,Family payment
PMID0000000000201,ChildA-1064,FAM0280,12/9/1998,INV1998110002,1396,Check,Family payment
PMID0000000000202,ChildA-1266,FAM0157,12/7/1998,INV1998110003,1323,Credit Card,Family payment
PMID0000000000203,ChildA-1318,IND0276,12/3/1998,INV1998110004,896,ACH,Family payment
PMID0000000000204,ChildA-1711,IND0040,12/10/1998,INV1998110005,896,Credit Card,Family payment
PMID0000000000205,ChildA-1754,FAM0256,12/10/1998,INV1998110006,540,Credit Card,Family payment
PMID0000000000206,ChildA-1794,IND0011,12/2/1998,INV1998110007,540,Check,Family payment
PMID0000000000207,ChildA-1807,IND0493,12/3/1998,INV1998110008,896,Check,Family payment
PMID0000000000208,ChildA-2220,IND0126,12/8/1998,INV1998110009,1106,Check,Family payment
PMID0000000000209,ChildA-2412,IND0511,12/7/1998,INV1998110010,1500,ACH,Family payment
PMID0000000000210,ChildA-1003,IND0092,1/1/1999,INV1998120001,950,ACH,Family payment
PMID0000000000211,ChildA-1064,FAM0280,1/10/1999,INV1998120002,1396,Check,Family payment
PMID0000000000212,ChildA-1266,FAM0157,1/6/1999,INV1998120003,1323,ACH,Family payment
PMID0000000000213,ChildA-1318,IND0276,1/10/1999,INV1998120004,896,Check,Family payment
PMID0000000000214,ChildA-1711,IND0040,1/1/1999,INV1998120005,896,ACH,Family payment
PMID0000000000215,ChildA-1754,FAM0256,1/8/1999,INV1998120006,540,Credit Card,Family payment
PMID0000000000216,ChildA-1794,IND0011,1/7/1999,INV1998120007,540,ACH,Family payment
PMID0000000000217,ChildA-1807,IND0493,12/31/1998,INV1998120008,896,Credit Card,Family payment
PMID0000000000218,ChildA-2220,IND0126,1/8/1999,INV1998120009,1106,ACH,Family payment
PMID0000000000219,ChildA-2412,IND0511,1/8/1999,INV1998120010,1500,Check,Family payment
PMID0000000000220,ChildA-1003,IND0092,2/10/1999,INV1999010001,950,ACH,Family payment
PMID0000000000221,ChildA-1064,FAM0280,2/4/1999,INV1999010002,1396,Check,Family payment
PMID0000000000222,ChildA-1266,FAM0157,2/3/1999,INV1999010003,1323,Check,Family payment
PMID0000000000223,ChildA-1318,IND0276,2/10/1999,INV1999010004,896,ACH,Family payment
PMID0000000000224,ChildA-1711,IND0040,2/7/1999,INV1999010005,896,ACH,Family payment
PMID0000000000225,ChildA-1754,FAM0256,1/31/1999,INV1999010006,540,Check,Family payment
PMID0000000000226,ChildA-1794,IND0011,2/9/1999,INV1999010007,540,Check,Family payment
PMID0000000000227,ChildA-1807,IND0493,2/3/1999,INV1999010008,896,Check,Family payment
PMID0000000000228,ChildA-2220,IND0126,1/31/1999,INV1999010009,1106,Check,Family payment
PMID0000000000229,ChildA-2412,IND0511,2/4/1999,INV1999010010,1500,ACH,Family payment
PMID0000000000230,ChildA-1003,IND0092,3/5/1999,INV1999020001,950,Check,Family payment
PMID0000000000231,ChildA-1064,FAM0280,3/2/1999,INV1999020002,1272.12,Check,Family payment
PMID0000000000232,ChildA-1266,FAM0157,3/5/1999,INV1999020003,1323,Credit Card,Family payment
PMID0000000000233,ChildA-1318,IND0276,3/9/1999,INV1999020004,896,Credit Card,Family payment
PMID0000000000234,ChildA-1711,IND0040,3/4/1999,INV1999020005,896,Check,Family payment
PMID0000000000235,ChildA-1754,FAM0256,3/6/1999,INV1999020006,540,ACH,Family payment
PMID0000000000236,ChildA-1794,IND0011,3/1/1999,INV1999020007,540,ACH,Family payment
PMID0000000000237,ChildA-1807,IND0493,3/9/1999,INV1999020008,896,Check,Family payment
PMID0000000000238,ChildA-2220,IND0126,3/9/1999,INV1999020009,1106,Credit Card,Family payment
PMID0000000000239,ChildA-2412,IND0511,3/1/1999,INV1999020010,1500,Credit Card,Family payment
PMID0000000000240,ChildA-1003,IND0092,4/3/1999,INV1999030001,950,Credit Card,Family payment
PMID0000000000241,ChildA-1064,FAM0280,4/7/1999,INV1999030002,1396,ACH,Family payment
PMID0000000000242,ChildA-1266,FAM0157,4/10/1999,INV1999030003,1323,ACH,Family payment
PMID0000000000243,ChildA-1318,IND0276,4/1/1999,INV1999030004,896,ACH,Family payment
PMID0000000000244,ChildA-1711,IND0040,4/5/1999,INV1999030005,896,Check,Family payment
PMID0000000000245,ChildA-1754,FAM0256,4/5/1999,INV1999030006,540,Check,Family payment
PMID0000000000246,ChildA-1794,IND0011,4/6/1999,INV1999030007,540,Credit Card,Family payment
PMID0000000000247,ChildA-1807,IND0493,4/1/1999,INV1999030008,896,Credit Card,Family payment
PMID0000000000248,ChildA-2220,IND0126,4/1/1999,INV1999030009,1106,Credit Card,Family payment
PMID0000000000249,ChildA-2412,IND0511,4/9/1999,INV1999030010,1500,ACH,Family payment
PMID0000000000250,ChildA-1003,IND0092,5/9/1999,INV1999040001,950,Check,Family payment
PMID0000000000251,ChildA-1064,FAM0280,5/10/1999,INV1999040002,1396,Credit Card,Family payment
PMID0000000000252,ChildA-1266,FAM0157,5/4/1999,INV1999040003,1323,Credit Card,Family payment
PMID0000000000253,ChildA-1266,FAM0157,5/10/1999,INV1999040004,540,ACH,Family payment
PMID0000000000254,ChildA-1318,IND0276,5/1/1999,INV1999040005,896,ACH,Family payment
PMID0000000000255,ChildA-1711,IND0040,5/2/1999,INV1999040006,896,Credit Card,Family payment
PMID0000000000256,ChildA-1754,FAM0256,5/9/1999,INV1999040007,540,ACH,Family payment
PMID0000000000257,ChildA-1794,IND0011,4/30/1999,INV1999040008,540,Check,Family payment
PMID0000000000258,ChildA-1807,IND0493,5/9/1999,INV1999040009,896,Credit Card,Family payment
PMID0000000000259,ChildA-2412,IND0511,5/5/1999,INV1999040010,1500,ACH,Family payment
PMID0000000000260,ChildA-1003,IND0092,6/8/1999,INV1999050001,950,ACH,Family payment
PMID0000000000261,ChildA-1064,FAM0280,5/31/1999,INV1999050002,1396,Credit Card,Family payment
PMID0000000000262,ChildA-1266,FAM0157,6/4/1999,INV1999050003,540,Check,Family payment
PMID0000000000263,ChildA-1318,IND0276,6/2/1999,INV1999050004,734.16,ACH,Family payment
PMID0000000000264,ChildA-1711,IND0040,6/5/1999,INV1999050005,896,Credit Card,Family payment
PMID0000000000265,ChildA-1754,FAM0256,6/7/1999,INV1999050006,540,Check,Family payment
PMID0000000000266,ChildA-1807,IND0493,6/10/1999,INV1999050007,896,Check,Family payment
PMID0000000000267,ChildA-2412,IND0511,6/2/1999,INV1999050008,1500,ACH,Family payment
PMID0000000000268,ChildA-1003,IND0092,7/6/1999,INV1999060001,950,Credit Card,Family payment
PMID0000000000269,ChildA-1064,FAM0280,7/6/1999,INV1999060002,1396,Check,Family payment
PMID0000000000270,ChildA-1254,SUB002,8/11/1999,INV1999060003,459,Wire Transfer,Subsidy payment
PMID0000000000271,ChildA-1254,ChildA-1254-FAM,7/8/1999,INV1999060003,81,Credit Card,Family payment
PMID0000000000272,ChildA-1266,FAM0157,7/5/1999,INV1999060004,540,Credit Card,Family payment
PMID0000000000273,ChildA-1318,IND0276,7/3/1999,INV1999060005,896,ACH,Family payment
PMID0000000000274,ChildA-1494,IND0461,7/10/1999,INV1999060006,896,Check,Family payment
PMID0000000000275,ChildA-1754,FAM0256,7/9/1999,INV1999060007,540,Check,Family payment
PMID0000000000276,ChildA-1802,FAM0181,7/10/1999,INV1999060008,1323,Credit Card,Family payment
PMID0000000000277,ChildA-2412,IND0511,7/7/1999,INV1999060009,1500,Credit Card,Family payment
PMID0000000000278,ChildA-1003,IND0092,8/9/1999,INV1999070001,950,Check,Family payment
PMID0000000000279,ChildA-1064,FAM0280,7/31/1999,INV1999070002,1396,Check,Family payment
PMID0000000000280,ChildA-1073,IND0764,8/1/1999,INV1999070003,1284,Check,Family payment
PMID0000000000281,ChildA-1254,SUB002,9/3/1999,INV1999070004,459,Wire Transfer,Subsidy payment
PMID0000000000282,ChildA-1254,ChildA-1254-FAM,7/31/1999,INV1999070004,81,ACH,Family payment
PMID0000000000283,ChildA-1266,FAM0157,8/9/1999,INV1999070005,540,ACH,Family payment
PMID0000000000284,ChildA-1318,IND0276,8/5/1999,INV1999070006,896,ACH,Family payment
