WageID,EffectiveStart,EffectiveEnd,PositionTitle,HourlyRate
WAGE-2019-EXECUTIVEDIRECTOR,1/1/2019,12/31/2019,Executive Director,22.74
WAGE-2020-ASSISTANTTEACHER,1/1/2020,12/31/2020,Assistant Teacher,9.26
WAGE-2020-TEACHER,1/1/2020,12/31/2020,Teacher,10.81
WAGE-2020-LEADTEACHER,1/1/2020,12/31/2020,Lead Teacher,12.37
WAGE-2020-CENTERDIRECTOR,1/1/2020,12/31/2020,Center Director,18.54
WAGE-2020-EXECUTIVEDIRECTOR,1/1/2020,12/31/2020,Executive Director,23.19
WAGE-2021-ASSISTANTTEACHER,1/1/2021,12/31/2021,Assistant Teacher,9.45
WAGE-2021-TEACHER,1/1/2021,12/31/2021,Teacher,11.03
WAGE-2021-LEADTEACHER,1/1/2021,12/31/2021,Lead Teacher,12.62
WAGE-2021-CENTERDIRECTOR,1/1/2021,12/31/2021,Center Director,18.91
WAGE-2021-EXECUTIVEDIRECTOR,1/1/2021,12/31/2021,Executive Director,23.65
WAGE-2022-ASSISTANTTEACHER,1/1/2022,12/31/2022,Assistant Teacher,18.5
WAGE-2022-TEACHER,1/1/2022,12/31/2022,Teacher,21
WAGE-2022-LEADTEACHER,1/1/2022,12/31/2022,Lead Teacher,24
WAGE-2022-CENTERDIRECTOR,1/1/2022,12/31/2022,Center Director,30
WAGE-2022-EXECUTIVEDIRECTOR,1/1/2022,12/31/2022,Executive Director,40
WAGE-2023-ASSISTANTTEACHER,1/1/2023,12/31/2023,Assistant Teacher,19.24
WAGE-2023-TEACHER,1/1/2023,12/31/2023,Teacher,21.84
WAGE-2023-LEADTEACHER,1/1/2023,12/31/2023,Lead Teacher,24.96
WAGE-2023-CENTERDIRECTOR,1/1/2023,12/31/2023,Center Director,31.2
WAGE-2023-EXECUTIVEDIRECTOR,1/1/2023,12/31/2023,Executive Director,41.6
WAGE-2024-ASSISTANTTEACHER,1/1/2024,12/31/2024,Assistant Teacher,20.01
WAGE-2024-TEACHER,1/1/2024,12/31/2024,Teacher,22.71
WAGE-2024-LEADTEACHER,1/1/2024,12/31/2024,Lead Teacher,25.96
WAGE-2024-CENTERDIRECTOR,1/1/2024,12/31/2024,Center Director,32.45
WAGE-2024-EXECUTIVEDIRECTOR,1/1/2024,12/31/2024,Executive Director,43.26
WAGE-2025-ASSISTANTTEACHER,1/1/2025,,Assistant Teacher,20.81
WAGE-2025-TEACHER,1/1/2025,,Teacher,23.62
WAGE-2025-LEADTEACHER,1/1/2025,,Lead Teacher,27
WAGE-2025-CENTERDIRECTOR,1/1/2025,,Center Director,33.75
WAGE-2025-EXECUTIVEDIRECTOR,1/1/2025,,Executive Director,44.99
