Date,Description
1/1/2009,New Year's Day
1/16/2009,Staff Development Day
1/19/2009,Martin Luther King Jr. Day
1/20/2009,Inauguration Day
2/13/2009,Staff Development Day
2/16/2009,Presidents' Day
5/22/2009,Staff Development Day
5/25/2009,Memorial Day
7/4/2009,Independence Day
9/4/2009,Staff Development Day
9/7/2009,Labor Day
10/9/2009,Staff Development Day
10/12/2009,Columbus Day
11/11/2009,Veterans Day
11/26/2009,Thanksgiving Day
12/25/2009,Christmas Day
1/1/2010,New Year's Day
1/15/2010,Staff Development Day
1/18/2010,Martin Luther King Jr. Day
2/12/2010,Staff Development Day
2/15/2010,Presidents' Day
5/28/2010,Staff Development Day
5/31/2010,Memorial Day
7/4/2010,Independence Day
9/3/2010,Staff Development Day
9/6/2010,Labor Day
10/8/2010,Staff Development Day
10/11/2010,Columbus Day
11/11/2010,Veterans Day
11/25/2010,Thanksgiving Day
12/25/2010,Christmas Day
1/1/2011,New Year's Day
1/14/2011,Staff Development Day
1/17/2011,Martin Luther King Jr. Day
2/18/2011,Staff Development Day
2/21/2011,Presidents' Day
5/27/2011,Staff Development Day
5/30/2011,Memorial Day
7/1/2011,Staff Development Day
7/4/2011,Independence Day
9/2/2011,Staff Development Day
9/5/2011,Labor Day
10/7/2011,Staff Development Day
10/10/2011,Columbus Day
11/11/2011,Veterans Day
11/24/2011,Thanksgiving Day
12/25/2011,Christmas Day
1/1/2012,New Year's Day
1/13/2012,Staff Development Day
1/16/2012,Martin Luther King Jr. Day
2/17/2012,Staff Development Day
2/20/2012,Presidents' Day
5/25/2012,Staff Development Day
5/28/2012,Memorial Day
7/4/2012,Independence Day
8/31/2012,Staff Development Day
9/3/2012,Labor Day
10/5/2012,Staff Development Day
10/8/2012,Columbus Day
11/11/2012,Veterans Day
11/22/2012,Thanksgiving Day
12/25/2012,Christmas Day
1/1/2013,New Year's Day
1/18/2013,Staff Development Day
1/20/2013,Inauguration Day
1/21/2013,Martin Luther King Jr. Day
2/15/2013,Staff Development Day
2/18/2013,Presidents' Day
5/24/2013,Staff Development Day
5/27/2013,Memorial Day
7/4/2013,Independence Day
8/30/2013,Staff Development Day
9/2/2013,Labor Day
10/11/2013,Staff Development Day
10/14/2013,Columbus Day
11/8/2013,Staff Development Day
11/11/2013,Veterans Day
11/28/2013,Thanksgiving Day
12/25/2013,Christmas Day
1/1/2014,New Year's Day
1/17/2014,Staff Development Day
1/20/2014,Martin Luther King Jr. Day
2/14/2014,Staff Development Day
2/17/2014,Presidents' Day
5/23/2014,Staff Development Day
5/26/2014,Memorial Day
7/4/2014,Independence Day
8/29/2014,Staff Development Day
9/1/2014,Labor Day
10/10/2014,Staff Development Day
10/13/2014,Columbus Day
11/11/2014,Veterans Day
11/27/2014,Thanksgiving Day
12/25/2014,Christmas Day
1/1/2015,New Year's Day
1/16/2015,Staff Development Day
1/19/2015,Martin Luther King Jr. Day
2/13/2015,Staff Development Day
2/16/2015,Presidents' Day
5/22/2015,Staff Development Day
5/25/2015,Memorial Day
7/4/2015,Independence Day
9/4/2015,Staff Development Day
9/7/2015,Labor Day
10/9/2015,Staff Development Day
10/12/2015,Columbus Day
11/11/2015,Veterans Day
11/26/2015,Thanksgiving Day
12/25/2015,Christmas Day
1/1/2016,New Year's Day
1/15/2016,Staff Development Day
1/18/2016,Martin Luther King Jr. Day
2/12/2016,Staff Development Day
2/15/2016,Presidents' Day
5/27/2016,Staff Development Day
5/30/2016,Memorial Day
7/1/2016,Staff Development Day
7/4/2016,Independence Day
9/2/2016,Staff Development Day
9/5/2016,Labor Day
10/7/2016,Staff Development Day
10/10/2016,Columbus Day
11/11/2016,Veterans Day
11/24/2016,Thanksgiving Day
12/25/2016,Christmas Day
1/1/2017,New Year's Day
1/13/2017,Staff Development Day
1/16/2017,Martin Luther King Jr. Day
1/20/2017,Inauguration Day
2/17/2017,Staff Development Day
2/20/2017,Presidents' Day
5/26/2017,Staff Development Day
5/29/2017,Memorial Day
7/4/2017,Independence Day
9/1/2017,Staff Development Day
9/4/2017,Labor Day
10/6/2017,Staff Development Day
10/9/2017,Columbus Day
11/11/2017,Veterans Day
11/23/2017,Thanksgiving Day
12/22/2017,Staff Development Day
12/25/2017,Christmas Day
12/29/2017,Staff Development Day
1/1/2018,New Year's Day
1/12/2018,Staff Development Day
1/15/2018,Martin Luther King Jr. Day
2/16/2018,Staff Development Day
2/19/2018,Presidents' Day
5/25/2018,Staff Development Day
5/28/2018,Memorial Day
7/4/2018,Independence Day
8/31/2018,Staff Development Day
9/3/2018,Labor Day
10/5/2018,Staff Development Day
10/8/2018,Columbus Day
11/11/2018,Veterans Day
11/22/2018,Thanksgiving Day
12/25/2018,Christmas Day
1/1/2019,New Year's Day
1/18/2019,Staff Development Day
1/21/2019,Martin Luther King Jr. Day
2/15/2019,Staff Development Day
2/18/2019,Presidents' Day
5/24/2019,Staff Development Day
5/27/2019,Memorial Day
7/4/2019,Independence Day
8/30/2019,Staff Development Day
9/2/2019,Labor Day
10/11/2019,Staff Development Day
10/14/2019,Columbus Day
11/8/2019,Staff Development Day
11/11/2019,Veterans Day
11/28/2019,Thanksgiving Day
12/25/2019,Christmas Day
1/1/2020,New Year's Day
1/17/2020,Staff Development Day
1/20/2020,Martin Luther King Jr. Day
2/14/2020,Staff Development Day
2/17/2020,Presidents' Day
5/22/2020,Staff Development Day
5/25/2020,Memorial Day
7/4/2020,Independence Day
9/4/2020,Staff Development Day
9/7/2020,Labor Day
10/9/2020,Staff Development Day
10/12/2020,Columbus Day
11/11/2020,Veterans Day
11/26/2020,Thanksgiving Day
12/25/2020,Christmas Day
1/1/2021,New Year's Day
1/15/2021,Staff Development Day
1/18/2021,Martin Luther King Jr. Day
1/20/2021,Inauguration Day
2/12/2021,Staff Development Day
2/15/2021,Presidents' Day
5/28/2021,Staff Development Day
5/31/2021,Memorial Day
7/4/2021,Independence Day
9/3/2021,Staff Development Day
9/6/2021,Labor Day
10/8/2021,Staff Development Day
10/11/2021,Columbus Day
11/11/2021,Veterans Day
11/25/2021,Thanksgiving Day
12/25/2021,Christmas Day
1/1/2022,New Year's Day
1/14/2022,Staff Development Day
1/17/2022,Martin Luther King Jr. Day
2/18/2022,Staff Development Day
2/21/2022,Presidents' Day
5/27/2022,Staff Development Day
5/30/2022,Memorial Day
7/1/2022,Staff Development Day
7/4/2022,Independence Day
9/2/2022,Staff Development Day
9/5/2022,Labor Day
10/7/2022,Staff Development Day
10/10/2022,Columbus Day
11/11/2022,Veterans Day
11/24/2022,Thanksgiving Day
12/25/2022,Christmas Day
1/1/2023,New Year's Day
1/13/2023,Staff Development Day
1/16/2023,Martin Luther King Jr. Day
2/17/2023,Staff Development Day
2/20/2023,Presidents' Day
5/26/2023,Staff Development Day
5/29/2023,Memorial Day
7/4/2023,Independence Day
9/1/2023,Staff Development Day
9/4/2023,Labor Day
10/6/2023,Staff Development Day
10/9/2023,Columbus Day
11/11/2023,Veterans Day
11/23/2023,Thanksgiving Day
12/22/2023,Staff Development Day
12/25/2023,Christmas Day
12/29/2023,Staff Development Day
1/1/2024,New Year's Day
1/12/2024,Staff Development Day
1/15/2024,Martin Luther King Jr. Day
2/16/2024,Staff Development Day
2/19/2024,Presidents' Day
5/24/2024,Staff Development Day
5/27/2024,Memorial Day
7/4/2024,Independence Day
8/30/2024,Staff Development Day
9/2/2024,Labor Day
10/11/2024,Staff Development Day
10/14/2024,Columbus Day
11/8/2024,Staff Development Day
11/11/2024,Veterans Day
11/28/2024,Thanksgiving Day
12/25/2024,Christmas Day
1/1/2025,New Year's Day
1/17/2025,Staff Development Day
1/17/2025,Staff Development Day
1/20/2025,Inauguration Day
1/20/2025,Martin Luther King Jr. Day
2/14/2025,Staff Development Day
2/17/2025,Presidents' Day
5/23/2025,Staff Development Day
5/26/2025,Memorial Day
7/4/2025,Independence Day
8/29/2025,Staff Development Day
9/1/2025,Labor Day
10/10/2025,Staff Development Day
10/13/2025,Columbus Day
11/11/2025,Veterans Day
11/27/2025,Thanksgiving Day
12/25/2025,Christmas Day
