RateRuleID,CenterID,ClassroomType,ClassroomID,RateType,Ratio,AgeRange,ScheduleType,,
RR033,C-HP,Preschool,CL-HPPS1-01,Federal,1 to 6,24-36 months,Part-Time-2Day,,
RR034,C-HP,Preschool,CL-HPPS2-01,Federal,1 to 10,36-60 months,Full-Time,,
RR035,C-HP,Preschool,CL-HPPS2-01,Federal,1 to 10,36-60 months,Part-Time-3Day,,
RR036,C-HP,Preschool,CL-HPPS2-01,Federal,1 to 10,36-60 months,Part-Time-2Day,,
RR037,C-HP,Infant,CL-HPIN-01,Community,1 to 4,0-13 months,Full-Time,,
RR038,C-HP,Infant,CL-HPIN-01,Community,1 to 4,0-13 months,Part-Time-3Day,,
RR039,C-HP,Infant,CL-HPIN-01,Community,1 to 4,0-13 months,Part-Time-2Day,,
RR040,C-HP,Toddler,CL-HPTO-01,Community,1 to 4,13-24 months,Full-Time,,
RR041,C-HP,Toddler,CL-HPTO-01,Community,1 to 4,13-24 months,Part-Time-3Day,,
RR042,C-HP,Toddler,CL-HPTO-01,Community,1 to 4,13-24 months,Part-Time-2Day,,
RR043,C-HP,Preschool,CL-HPPS1-01,Community,1 to 6,24-36 months,Full-Time,,
RR044,C-HP,Preschool,CL-HPPS1-01,Community,1 to 6,24-36 months,Part-Time-3Day,,
RR045,C-HP,Preschool,CL-HPPS1-01,Community,1 to 6,24-36 months,Part-Time-2Day,,
RR046,C-HP,Preschool,CL-HPPS2-01,Community,1 to 10,36-60 months,Full-Time,,
RR047,C-HP,Preschool,CL-HPPS2-01,Community,1 to 10,36-60 months,Part-Time-3Day,,
RR048,C-HP,Preschool,CL-HPPS2-01,Community,1 to 10,36-60 months,Part-Time-2Day,,
RR049,C-TD,Infant,CL-TDIN-01,Community,1 to 4,0-13 months,Full-Time,,
RR050,C-TD,Infant,CL-TDIN-01,Community,1 to 4,0-13 months,Part-Time-3Day,,
RR051,C-TD,Infant,CL-TDIN-01,Community,1 to 4,0-13 months,Part-Time-2Day,,
RR052,C-TD,Toddler,CL-TDTO-01,Community,1 to 6,13-24 months,Full-Time,,
RR053,C-TD,Toddler,CL-TDTO-01,Community,1 to 6,13-24 months,Part-Time-3Day,,
RR054,C-TD,Toddler,CL-TDTO-01,Community,1 to 6,13-24 months,Part-Time-2Day,,
RR055,C-TD,Preschool,CL-TDPS-01,Community,1 to 10,24-60 months,Full-Time,,
RR056,C-TD,Preschool,CL-TDPS-01,Community,1 to 10,24-60 months,Part-Time-3Day,,
RR057,C-TD,Preschool,CL-TDPS-01,Community,1 to 10,24-60 months,Part-Time-2Day,,
RR058,C-TD,Infant,CL-TDIN-02,Community,1 to 4,0-13 months,Full-Time,,
RR059,C-TD,Infant,CL-TDIN-02,Community,1 to 4,0-13 months,Part-Time-3Day,,
RR060,C-TD,Infant,CL-TDIN-02,Community,1 to 4,0-13 months,Part-Time-2Day,,
RR061,C-TD,Cruiser,CL-TDCR-01,Community,1 to 4,13-24 months,Full-Time,,
RR062,C-TD,Cruiser,CL-TDCR-01,Community,1 to 4,13-24 months,Part-Time-3Day,,
RR063,C-TD,Cruiser,CL-TDCR-01,Community,1 to 4,13-24 months,Part-Time-2Day,,
RR064,C-TD,Preschool Pod 1,CL-TDPSP1-01,Community,1 to 6,24-36 months,Full-Time,,
RR065,C-TD,Preschool Pod 1,CL-TDPSP1-01,Community,1 to 6,24-36 months,Part-Time-3Day,,
RR066,C-TD,Preschool Pod 1,CL-TDPSP1-01,Community,1 to 6,24-36 months,Part-Time-2Day,,
RR067,C-TD,Preschool Pod 2,CL-TDPSP2-01,Community,1 to 10,37-60 months,Full-Time,,
RR068,C-TD,Preschool Pod 2,CL-TDPSP2-01,Community,1 to 10,37-60 months,Part-Time-3Day,,
RR069,C-TD,Preschool Pod 2,CL-TDPSP2-01,Community,1 to 10,37-60 months,Part-Time-2Day,,
RR070,C-LCV,Infant,CL-LCVIN-01,Community,1 to 4,0-13 months,Full-Time,,
RR071,C-LCV,Infant,CL-LCVIN-01,Community,1 to 4,0-13 months,Part-Time-3Day,,
RR072,C-LCV,Infant,CL-LCVIN-01,Community,1 to 4,0-13 months,Part-Time-2Day,,
RR073,C-LCV,Toddler,CL-LCVTO-01,Community,1 to 6,13-24 months,Full-Time,,
RR074,C-LCV,Toddler,CL-LCVTO-01,Community,1 to 6,13-24 months,Part-Time-3Day,,
RR075,C-LCV,Toddler,CL-LCVTO-01,Community,1 to 6,13-24 months,Part-Time-2Day,,
RR076,C-LCV,Preschool,CL-LCVPS-01,Community,1 to 10,24-60 months,Full-Time,,
RR077,C-LCV,Preschool,CL-LCVPS-01,Community,1 to 10,24-60 months,Part-Time-3Day,,
RR078,C-LCV,Preschool,CL-LCVPS-01,Community,1 to 10,24-60 months,Part-Time-2Day,,
